SCF ID,Core VCF Category,Core VCF Category Description,Correlated Baseline Technical Controls,DORA RTS on ICT Risk Management Reference
AST-01.1,"API, Ecosystem, and Integration","VMware Cloud Foundation (VCF) provides extensive API integration support for third-party tools such as IT asset management (ITAM), configuration management databases (CMDB), and security assessment tools. 
The VMware Aria and VMware vDefend product suites deliver security assessment and continuous monitoring functionality.
Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs to maintain security and compliance requirements.",Not Applicable,"Article 4, 2. (a)
Article 4, 2. (b)(viii)"
AST-01.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 4, 2. (a)"
AST-01.3,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AST-01.4,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AST-02,"API, Ecosystem, and Integration","VMware Cloud Foundation (VCF) provides extensive API integration support for third-party tools such as IT asset management (ITAM), configuration management databases (CMDB), and security assessment tools. 
The VMware Aria and VMware vDefend product suites deliver security assessment and continuous monitoring functionality.
Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs to maintain security and compliance requirements.",Not Applicable,"Article 8.1
Article 8.2
Article 4, 2. (b)(v)
Article 10(2)(d)
Article 11(2)(c)"
AST-02.1,"API, Ecosystem, and Integration","VMware Cloud Foundation (VCF) provides extensive API integration support for third-party tools such as IT asset management (ITAM), configuration management databases (CMDB), and security assessment tools. 
The VMware Aria and VMware vDefend product suites deliver security assessment and continuous monitoring functionality.
Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs to maintain security and compliance requirements.",Not Applicable,
AST-02.2,System Integrity,"VMware Cloud Foundation (VCF) provides a number of safeguards against loss of system integrity, starting at system hardware with the use of Secure Boot, Trusted Platform Modules, Reliable Memory, Intel Trusted Execution Technology, and use of confidential computing tools like AMD SEV-ES. The hypervisor enforces code signing, preventing installation and execution of malware and ransomware toolkits, as well as isolating workloads from each other and from the hypervisor. vCenter monitors host attestation state, ensuring that hosts have booted in known good configurations, and Aria Operations continously monitors security state for the entire cluster, alerting if something is amiss. vSAN has numerous data integrity features, including customizable protection policies, continous integrity checks, stretched clusters, and availability zones. VCF also monitors, detects, and corrects changes to host and software configurations through Lifecycle Manager and Configuration Profiles.",,
AST-02.3,"API, Ecosystem, and Integration","VMware Cloud Foundation (VCF) provides extensive API integration support for third-party tools such as IT asset management (ITAM), configuration management databases (CMDB), and security assessment tools. 
The VMware Aria and VMware vDefend product suites deliver security assessment and continuous monitoring functionality.
Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs to maintain security and compliance requirements.",Not Applicable,
AST-02.4,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AST-02.5,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
AST-02.6,Continuous Control Validation and Event Detection,"VMware Cloud Foundation (VCF) integrates security monitoring capabilities through VMware Aria Operations suite (Operations, Operations for Logs, Operations for Networks) and VMware vDefend Firewall services. The platform combines signature-based intrusion detection with behavioral analysis for advanced threat detection. Customizable real-time system alerts flag security misconfigurations and potential threats across the infrastructure stack, including policy, log data, and system health violations such as vSAN storage alerts. Security and operations teams can leverage interfaces, CLI tools, and APIs to automate security posture assessment and remediation workflows, as well as integrate third-party monitoring,  analysis, and SIEM tools. The platform has customizable retention periods for data.",,
AST-02.7,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-02.8,Architecture Documentation,"The VMware Aria Operations suite provides network topology mapping and infrastructure visualization tools to support architectural documentation and deployment planning. These built-in capabilities enable teams to diagram infrastructure and workload relationships and document implementations across the VMware Cloud Foundation (VCF) environment. This includes diagramming live system data flows using Aria Operations for Networks.

VCF includes documentation of network ports and protocols used by the products at ports.broadcom.com.",Not Applicable,
AST-02.9,"API, Ecosystem, and Integration","VMware Cloud Foundation (VCF) provides extensive API integration support for third-party tools such as IT asset management (ITAM), configuration management databases (CMDB), and security assessment tools. 
The VMware Aria and VMware vDefend product suites deliver security assessment and continuous monitoring functionality.
Security teams can generate custom reports, export data, and automate tasks using product interfaces, PowerCLI, and APIs to maintain security and compliance requirements.",,
AST-02.10,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 4, 2. (b)(ii)"
AST-02.11,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AST-03,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 4, 2. (b)(iv)"
AST-03.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-03.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,"Article 4, 2. (b)(ii)"
AST-04,Architecture Documentation,"The VMware Aria Operations suite provides network topology mapping and infrastructure visualization tools to support architectural documentation and deployment planning. These built-in capabilities enable teams to diagram infrastructure and workload relationships and document implementations across the VMware Cloud Foundation (VCF) environment. This includes diagramming live system data flows using Aria Operations for Networks.

VCF includes documentation of network ports and protocols used by the products at ports.broadcom.com.",Not Applicable,Article 13(b)
AST-04.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 4, 2. (b)(iii)"
AST-04.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-04.3,Tagging and Categorization,"VMware Cloud Foundation (VCF) provides a robust framework for resource organization through its tagging and categorization functionalities, integral to managing its software-defined data center components, including vSphere, vSAN, NSX, and vRealize Suite. Tags serve as metadata labels applied to objects such as virtual machines, hosts, and datastores, enabling policy-driven workload placement and detailed reporting for cost, usage, or security purposes. Folders offer a hierarchical structure within vSphere to group virtual machines and templates, facilitating navigation and management in large-scale deployments, such as organizing resources by department or environment. These features collectively enhance automation and operational efficiency, requiring a consistent tagging strategy to maximize their utility in multi-stakeholder environments.

Additionally, VCF employs groups and namespaces to address diverse management needs. Groups encompass host groups for organizing physical infrastructure, resource pools for allocating CPU and memory, and business groups in vRealize Automation for managing user access to resources and blueprints, supporting self-service IT models. Namespaces, integrated with vSphere with Tanzu, group virtual machines and containers into logical applications, simplifying administration in Kubernetes environments by reducing complexity and enabling resource limits and access control.",Not Applicable,"Article 4, 2. (b)(i)"
AST-05,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-05.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-06,System Integrity,"VMware Cloud Foundation (VCF) provides a number of safeguards against loss of system integrity, starting at system hardware with the use of Secure Boot, Trusted Platform Modules, Reliable Memory, Intel Trusted Execution Technology, and use of confidential computing tools like AMD SEV-ES. The hypervisor enforces code signing, preventing installation and execution of malware and ransomware toolkits, as well as isolating workloads from each other and from the hypervisor. vCenter monitors host attestation state, ensuring that hosts have booted in known good configurations, and Aria Operations continously monitors security state for the entire cluster, alerting if something is amiss. vSAN has numerous data integrity features, including customizable protection policies, continous integrity checks, stretched clusters, and availability zones. VCF also monitors, detects, and corrects changes to host and software configurations through Lifecycle Manager and Configuration Profiles.",Not Applicable,
AST-06.1,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
AST-07,Cryptography and Encryption,"VMware Cloud Foundation (VCF) supports modern cryptographic standards, like TLS 1.2 and TLS 1.3, as well as formal validation of cryptographic libraries via FIPS 140-2 and 140-3. Data-in-transit/network communications for system management are encrypted by default using these standardized cipher suites.

Data-in-transit protections which employ TLS have customizable PKI keypair and certificate options, ranging from fully automated within the platform, semi-automated using certificates and certificate authority roots issued from enterprise PKI infrastructure, or fully custom certificates installed manually. Automated certificate issuance is supported with Microsoft Active Directory Certificate Services.

Data-at-rest can be encrypted using vSAN Data-at-Rest encryption or VM Encryption on non-vSAN storage. Encryption keys for data-at-rest encryption can be stored within VCF or externally in a third-party KMS. Use of VM Encryption also encryptions data-in-transit for those VMs on the storage fabric. For vSAN there is a separate configurable data-in-transit encryption setting which can be enabled.

Data-in-use protections are supported via Intel SGX and AMD SEV-ES.

Note that data-at-rest protections do not extend to ESX boot volumes, where log and system configuration data may reside. Use of self-encrypting drives and/or other data destruction techniques may be a compensating control.",,
AST-08,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-09,Cryptography and Encryption,"VMware Cloud Foundation (VCF) supports modern cryptographic standards, like TLS 1.2 and TLS 1.3, as well as formal validation of cryptographic libraries via FIPS 140-2 and 140-3. Data-in-transit/network communications for system management are encrypted by default using these standardized cipher suites.

Data-in-transit protections which employ TLS have customizable PKI keypair and certificate options, ranging from fully automated within the platform, semi-automated using certificates and certificate authority roots issued from enterprise PKI infrastructure, or fully custom certificates installed manually. Automated certificate issuance is supported with Microsoft Active Directory Certificate Services.

Data-at-rest can be encrypted using vSAN Data-at-Rest encryption or VM Encryption on non-vSAN storage. Encryption keys for data-at-rest encryption can be stored within VCF or externally in a third-party KMS. Use of VM Encryption also encryptions data-in-transit for those VMs on the storage fabric. For vSAN there is a separate configurable data-in-transit encryption setting which can be enabled.

Data-in-use protections are supported via Intel SGX and AMD SEV-ES.

Note that data-at-rest protections do not extend to ESX boot volumes, where log and system configuration data may reside. Use of self-encrypting drives and/or other data destruction techniques may be a compensating control.",Not Applicable,
AST-10,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-11,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-12,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-13,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-14,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AST-14.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-14.2,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-15,System Integrity,"VMware Cloud Foundation (VCF) provides a number of safeguards against loss of system integrity, starting at system hardware with the use of Secure Boot, Trusted Platform Modules, Reliable Memory, Intel Trusted Execution Technology, and use of confidential computing tools like AMD SEV-ES. The hypervisor enforces code signing, preventing installation and execution of malware and ransomware toolkits, as well as isolating workloads from each other and from the hypervisor. vCenter monitors host attestation state, ensuring that hosts have booted in known good configurations, and Aria Operations continously monitors security state for the entire cluster, alerting if something is amiss. vSAN has numerous data integrity features, including customizable protection policies, continous integrity checks, stretched clusters, and availability zones. VCF also monitors, detects, and corrects changes to host and software configurations through Lifecycle Manager and Configuration Profiles.",,
AST-15.1,System Integrity,"VMware Cloud Foundation (VCF) provides a number of safeguards against loss of system integrity, starting at system hardware with the use of Secure Boot, Trusted Platform Modules, Reliable Memory, Intel Trusted Execution Technology, and use of confidential computing tools like AMD SEV-ES. The hypervisor enforces code signing, preventing installation and execution of malware and ransomware toolkits, as well as isolating workloads from each other and from the hypervisor. vCenter monitors host attestation state, ensuring that hosts have booted in known good configurations, and Aria Operations continously monitors security state for the entire cluster, alerting if something is amiss. vSAN has numerous data integrity features, including customizable protection policies, continous integrity checks, stretched clusters, and availability zones. VCF also monitors, detects, and corrects changes to host and software configurations through Lifecycle Manager and Configuration Profiles.",Not Applicable,
AST-16,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-17,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-18,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-19,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-20,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-21,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-22,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-23,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-24,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-25,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-26,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,"Article 5, 1."
AST-27,Network Access Control and Isolation,"VMware Cloud Foundation (VCF) provides robust network access control and isolation capabilities, integrating vSphere, vSAN, and NSX to secure and manage network traffic effectively. Network access control is enforced through host- and appliance-based firewalling, identity and access management (IAM) systems, such as Active Directory integration, and role-based access control (RBAC) across NSX, vCenter Server, ESXi, and SDDC Manager, ensuring only authorized entities can access the network. For outbound connectivity, VCF leverages NSX edge gateways to configure proxies, routing and monitoring HTTP/HTTPS traffic through a reliable HTTP proxy to filter and control internet access, aligning with organizational security policies.

Network isolation in VCF begins with basic segmentation using vSphere’s VLANs and port groups, which logically separate traffic at Layer 2 to prevent unauthorized access between network segments. For traffic management, VCF employs Network I/O Control to prioritize and allocate bandwidth, ensuring critical applications maintain performance under load, while Avi Load Balancer provides Layer 4 and Layer 7 load balancing to distribute traffic efficiently across servers. These features, inherited from vSphere and enhanced through VCF’s integrated architecture, offer foundational isolation and performance optimization for workload domains.

For advanced security, VCF utilizes VMware NSX and vDefend for microsegmentation, enabling fine-grained control over traffic between virtual machines. NSX’s distributed firewall allows policies to be applied regardless of VM location, while vDefend, introduced in VCF 9, enhances this with distributed and gateway firewalls plus advanced threat prevention at the workload level.",,
AST-28,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AST-28.1,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AST-29,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AST-29.1,Not currently mapped,Capabilities may exist but are not currently mapped.,,
AST-30,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
AST-31,Tagging and Categorization,"VMware Cloud Foundation (VCF) provides a robust framework for resource organization through its tagging and categorization functionalities, integral to managing its software-defined data center components, including vSphere, vSAN, NSX, and vRealize Suite. Tags serve as metadata labels applied to objects such as virtual machines, hosts, and datastores, enabling policy-driven workload placement and detailed reporting for cost, usage, or security purposes. Folders offer a hierarchical structure within vSphere to group virtual machines and templates, facilitating navigation and management in large-scale deployments, such as organizing resources by department or environment. These features collectively enhance automation and operational efficiency, requiring a consistent tagging strategy to maximize their utility in multi-stakeholder environments.

Additionally, VCF employs groups and namespaces to address diverse management needs. Groups encompass host groups for organizing physical infrastructure, resource pools for allocating CPU and memory, and business groups in vRealize Automation for managing user access to resources and blueprints, supporting self-service IT models. Namespaces, integrated with vSphere with Tanzu, group virtual machines and containers into logical applications, simplifying administration in Kubernetes environments by reducing complexity and enabling resource limits and access control.",Not Applicable,
AST-31.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
BCD-01,"Data Backup, Replication, and Recovery","VMware Live Site Recovery enables customizable business continuity and disaster recovery (BC/DR) management in VMware Cloud Foundation (VCF), either on an ad-hoc basis or part of a pre-existing playbook/runbook. The platform supports granular recovery time and point objectives (RTO/RPO) configurable at the object level. Organizations can perform non-disruptive BC/DR testing through VMware Live Site Recovery and VMware NSX integration.
The platform integrates with third-party storage replication solutions and backup providers through standardized APIs, while supporting flexible network connectivity options to meet data transfer requirements.
VMware HCX and the core VCF platform also offer data mobility and replication options, both locally and to remote targets.",Not Applicable,"Article 1 (e)
Article 2, 1. (d)
Article 24"
BCD-01.1,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,
BCD-01.2,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
BCD-01.3,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
BCD-01.4,"Data Backup, Replication, and Recovery","VMware Live Site Recovery enables customizable business continuity and disaster recovery (BC/DR) management in VMware Cloud Foundation (VCF), either on an ad-hoc basis or part of a pre-existing playbook/runbook. The platform supports granular recovery time and point objectives (RTO/RPO) configurable at the object level. Organizations can perform non-disruptive BC/DR testing through VMware Live Site Recovery and VMware NSX integration.
The platform integrates with third-party storage replication solutions and backup providers through standardized APIs, while supporting flexible network connectivity options to meet data transfer requirements.
VMware HCX and the core VCF platform also offer data mobility and replication options, both locally and to remote targets.",Not Applicable,"Article 4, 2. (b)(vi)
Article 24(1)(b)(ii)(2)"
BCD-01.5,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
BCD-01.6,Not currently mapped,Capabilities may exist but are not currently mapped.,Not Applicable,
BCD-02,Not Applicable,"End user activity or process, design decision, or activity out of scope.",Not Applicable,"Article 5, 2. (a)(b)"
