Destination URL / FQDN,Port(s),Category,Business Justification & Configuration Notes,Safe to Publish,VCF Configuration Scope,Scan Evidence
api.mgmt.cloud.vmware.com,TCP 443,Cloud Services & APIs,"VCFA production API backend — confirmed active in product code. automation/backend/tango-vro/gateway/application-vro.gateway.properties: cloud.api.uri=https://api.mgmt.cloud.vmware.com (Spring Boot prod config). automation/va/cadenza/rdc-proxy/mot.sh health-check script. Required for VCF for Automation cloud API calls. [Bypass SSL]",YES,VCF Connected + VCF for Automation,"automation/backend/tango-vro/gateway/application-vro.gateway.properties — cloud.api.uri=https://api.mgmt.cloud.vmware.com; automation/va/cadenza/containers/rdc-proxy/files/mot.sh — health-check curl"
vvs.broadcom.com,TCP 443,Cloud Services & APIs,VMware Validated Solutions (VVS) catalog API — SDDC Manager queries this at runtime to retrieve VVS reference architecture status. [Bypass SSL],YES,All VCF (Connected),Scan 3 (glcm/SDDC Manager) VERIFIED — vvs.broadcom.com confirmed as migrated production URL; vvs.esp.vmware.com was the legacy endpoint
ssc-gateway.mgmt.cloud.vmware.com,TCP 443,Cloud Services & APIs,Regional API Management Gateway. [Bypass SSL],YES,VCF Connected,Pre-scan baseline
de.ssc-gateway.mgmt.cloud.vmware.com,TCP 443,Cloud Services & APIs,Regional API Management Gateway (Germany). [Bypass SSL],YES,VCF Connected (Europe/DE),Pre-scan baseline — relevant for Germany-based deployments
www.mgmt.cloud.vmware.com,TCP 443,Cloud Services & APIs,"STILL ACTIVE in VCFA production code — upgrade from LEGACY. automation/backend/terraform-service/utils/constants.go: HeimdallServiceUriDefault = 'https://www.mgmt.cloud.vmware.com' (Go production constant). UI default endpoint for VCF for Automation (VCFA) cloud services. [Bypass SSL]",YES,VCF for Automation (VCFA Connected),"automation/backend/terraform-service/utils/constants.go — HeimdallServiceUriDefault = ""https://www.mgmt.cloud.vmware.com""; automation/backend/tango-vro/gateway/application-vro.gateway.properties — cloud.api.uri=https://api.mgmt.cloud.vmware.com"
in.www.mgmt.cloud.vmware.com,"TCP 80, 443",Cloud Services & APIs,"Regional VCFA automation gateway (India region). Found in automation tango-e2e Jenkins test constants — may indicate a real regional endpoint. Include only if VCFA connected deployment in India region.",CONDITIONAL,VCF for Automation (India region),"automation/ui/tango-e2e/e2e/helpers/constants.ts + Jenkins job-commons — heimdallUIUrlProdIN endpoint"
mars.www.mgmt.cloud.vmware.com,"TCP 80, 443",Cloud Services & APIs,"Regional VCFA automation gateway. Found in automation tango-e2e Jenkins test constants. Include only if VCFA connected deployment in this region.",CONDITIONAL,VCF for Automation (regional),"automation tango-e2e Jenkins job-commons — regional Heimdall endpoint"
onecloud.www.mgmt.cloud.vmware.com,"TCP 80, 443",Cloud Services & APIs,"Regional VCFA automation gateway. Found in automation tango-e2e Jenkins test constants. Include only if VCFA connected deployment in this region.",CONDITIONAL,VCF for Automation (regional),"automation tango-e2e Jenkins job-commons — regional Heimdall endpoint"
vcsa.telemetry.broadcom.com,TCP 443,Telemetry & Support,"vCenter / VCF phonehome CEIP relay — /ph/* paths. [Bypass SSL] Distinct from scapi.telemetry.broadcom.com (/sc/* SuperCollider paths).",YES,CEIP/Telemetry (All VCF),"Scan 23 (telemetry-acceptor) VERIFIED — vcsa.telemetry.broadcom.com confirmed as hardcoded default in application.yaml; vcsa.vmware.com was the legacy endpoint; can be blocked if CEIP disabled"
eapi.broadcom.com,TCP 443,Telemetry & Support,Enterprise APIs / Licensing entitlement checks.,YES,All VCF,Pre-scan baseline
mylogin.broadcom.com,"TCP 80, 443",Identity & SSO,Broadcom SSO authentication handover. [Redirect],YES,All VCF (Connected),Pre-scan baseline
customerconnect.vmware.com,"TCP 80, 443",Telemetry & Support,"REMOVE — zero matches in all 50+ scanned VCF repos. Was the legacy VMware support portal (now support.broadcom.com). Purely browser-navigated; no product runtime code calls this URL. No firewall rule required.",NO,N/A,"Zero matches across all scanned repos — browser portal redirect only, no product runtime egress"
scrt.broadcom.com,TCP 443,Telemetry & Support,Secure Customer Response Team portal.,YES,Support,Pre-scan baseline
feedback.esp.vmware.com,TCP 443,Telemetry & Support,REMOVE — not a runtime egress endpoint.,NO,N/A,"Searched all 50+ scanned VCF repos (glcm, mops, nsx, automation, all VKS repos, HCX, etc.) — zero matches. Not referenced in any product source code. Not a runtime egress endpoint. The esp.vmware.com domain is being retired. If this was a browser feedback link it is NOT needed in a firewall rule."
dev.skyscraper.vmware.com,TCP 443,Telemetry & Support,DEVELOPMENT tier of VMware Skyscraper analytics platform — not for production.,NO,N/A,"Scan 4 (NSX) found stg.skyscraper.vmware.com as staging tier (flagged ❌). The dev. tier is even further from production. Neither tier belongs in a customer firewall whitelist."
compatibilityguide.broadcom.com,TCP 443,Configuration & Docs,Hardware Compatibility List (HCL) database queries.,YES,Portal / Documentation,Pre-scan baseline
interopmatrix.broadcom.com,TCP 443,Configuration & Docs,Product Interoperability Matrix queries.,YES,Portal / Documentation,Pre-scan baseline
interopmatrix.vmware.com,"TCP 80, 443",Configuration & Docs,"BROWSER HELP LINK ONLY — not a product runtime firewall requirement. hcx-leo-ui/docs.constants.ts hardcodes url: 'https://interopmatrix.vmware.com/Interoperability' — this opens in the customer's browser when clicking HCX+ documentation links. mops/resources.properties: interop matrix UI link. Does NOT require a firewall proxy rule — it is a browser redirect to interopmatrix.broadcom.com. Remove from production firewall whitelist.",LEGACY — BROWSER ONLY,N/A (browser help link),"hcx-leo-ui/libs/shared/platform/src/lib/docs/docs.constants.ts — url: 'https://interopmatrix.vmware.com/Interoperability' (browser-opened help link); mops/resources.properties — UI resource link"
configmax.broadcom.com,TCP 443,Configuration & Docs,Configuration Maximums limits tool.,YES,Portal / Documentation,Pre-scan baseline
configmax.esp.vmware.com,"TCP 80, 443",Configuration & Docs,"REMOVE — zero matches in all scanned repos. Browser-only portal, redirects to configmax.broadcom.com. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
ports.esp.vmware.com,"TCP 80, 443",Configuration & Docs,"REMOVE — zero matches in all scanned repos. Browser-only portal, redirects to ports.broadcom.com. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
vsanreadynode.vmware.com,"TCP 80, 443",Configuration & Docs,"REMOVE — zero matches in all scanned repos. Browser-only vSAN Sizer portal. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
docs.broadcom.com,"TCP 80, 443",Configuration & Docs,Official Technical Documentation. [Redirect],YES,Portal / Documentation,Pre-scan baseline
docs.vmware.com,"TCP 80, 443",Configuration & Docs,"BROWSER HELP LINK ONLY — not a product runtime firewall requirement. 1026 occurrences found across active-batch repos (vs 435 using techdocs.broadcom.com — migration ~30% complete). All occurrences are help link constants, OpenAPI doc URLs, and YAML documentation references that open in the customer browser when clicking in-product help. NOT a server-to-server or product-runtime egress call. Does NOT require a firewall proxy rule. Redirect to techdocs.broadcom.com.",LEGACY — BROWSER ONLY,N/A (browser help link),"1,026 product code references across repos (hcx-leo-ui/docs.constants.ts, cayman_photon/release_metadata.yaml, saltstack-raas-ui, cloud-automation-ui bundles) — all are browser-opened documentation links"
kb.vmware.com,TCP 443,Configuration & Docs,Knowledge Base articles and support documentation.,YES,Portal / Documentation,Pre-scan baseline
help.vmware.com,TCP 443,Configuration & Docs,Support help routing and documentation.,YES,Support,Pre-scan baseline
legaldocs.broadcom.com,"TCP 80, 443",Configuration & Docs,Legal EULAs (Installer wizards ping this during setup). [Redirect],YES,All VCF (Install),Pre-scan baseline
community.broadcom.com,"TCP 80, 443",Portals & Community,Broadcom user communities. [Redirect],YES,Portal / Community,Pre-scan baseline
communities.vmware.com,"TCP 80, 443",Portals & Community,"REMOVE — zero matches in all scanned repos. Browser-only, redirects to community.broadcom.com. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
blogs.vmware.com,TCP 443,Portals & Community,Official technical blogs.,YES,Portal / Community,Pre-scan baseline
code.vmware.com,"TCP 80, 443",Portals & Community,"REMOVE — zero matches in all scanned repos. Browser-only legacy SDK portal. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
core.vmware.com,"TCP 80, 443",Portals & Community,"REMOVE — zero matches in all scanned repos. Browser-only Tech Zone redirect. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
labs.hol.vmware.com,"TCP 80, 443",Portals & Community,Hands-on Labs training environments. [Redirect],CONDITIONAL,Training Only,"HOL only — not needed in production firewall; relevant only for lab/training environment network access"
vmc.vmware.com,TCP 443,Portals & Community,VMware Cloud portal frontend.,YES,VCF Connected,Pre-scan baseline
vcf.broadcom.com,"TCP 80, 443",Portals & Community,VCF services landing page. [Redirect],YES,Portal / Community,Pre-scan baseline
partnerlocator.vmware.com,"TCP 80, 443",Portals & Community,"REMOVE — zero matches in all scanned repos. Browser-only partner portal redirect. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
partnerweb.vmware.com,"TCP 80, 443",Portals & Community,"REMOVE — zero matches in all scanned repos. Browser-only partner web portal redirect. No firewall rule required.",NO,N/A,Zero matches — browser portal redirect only
console.ds.vmware.com,TCP 443,Portals & Community,"VMware Cloud Disaster Recovery (VCDR/DPX) browser portal — web console only, not product runtime.",CONDITIONAL,VCF + Cloud DR (Browser portal only),"Searched hms (Scan 6) and all active-batch repos — zero matches for console.ds.vmware.com. The product runtime API is api.ds.vmware.com (confirmed in hms/VmcService.java). console.ds.vmware.com is NOT referenced in product code — it is the browser console customers open to manage VCDR. Include only if VCDR is deployed AND users access the portal from a managed/proxied network."
www.broadcom.com,TCP 443,Portals & Community,General Broadcom corporate services.,YES,Portal / Community,Pre-scan baseline
www.vmware.com,TCP 443,Portals & Community,General VMware corporate services.,YES,Portal / Community,Pre-scan baseline
vmware.com,"TCP 80, 443",Portals & Community,"REMOVE — zero matches in all scanned repos. Base domain browser redirect only. No firewall rule required.",NO,N/A,Zero matches — browser redirect only
rekor.sigstore.dev,TCP 443,Container Registries,Sigstore transparency log — used by VKS/FluxCD for OCI image signature verification. [Bypass SSL],CONDITIONAL,VKS + FluxCD (if cosign enabled),"Scan 1 (vmsp) + Scan 8 (vcfa-flux) VERIFIED — only needed if Sigstore image signing/verification is enabled"
prometheus-community.github.io,TCP 443,Container Registries,Prometheus community Helm chart repository (kube-prometheus-stack).,CONDITIONAL,VKS + Observability,"Scan 46 (vksaas-config) — required only if kube-prometheus-stack installed via Helm repo; not needed if chart is bundled in Carvel package"
charts.external-secrets.io,TCP 443,Container Registries,External Secrets Operator (ESO) Helm chart repository.,CONDITIONAL,VKS + ESO (BYO mode only),"Scan 50 (external-secrets-vks-addon) — BYO/community install path only; production Cayman builds use internal mirror; not needed for official VKS add-on package"
wp-content.vmware.com,TCP 443,Software Updates,VMware WordPress content origin server — hosts binary files served from VMware download pages. [Bypass SSL],CONDITIONAL,All VCF (Install),"Customer-reported; download portal origin for VMware product binaries; typically accessed during initial install workflow via browser — may not need to be in runtime firewall"
jfrog-prod-usw2-shared-oregon-main.s3.amazonaws.com,TCP 443,CDN Backing Infrastructure — SSL Inspection,"ZSCALER / SSL-INSPECTION ENVIRONMENTS ONLY. packages.broadcom.com is hosted on JFrog Cloud SaaS which uses AWS S3 (us-west-2/Oregon) as its binary storage backend. When a VCF component downloads a package, JFrog issues an HTTP 302 redirect to a signed URL on this S3 bucket for byte delivery. A standard proxy only sees packages.broadcom.com. Zscaler and other SSL-inspection proxies follow the redirect and must also reach this S3 bucket. CRITICAL: This affects every VCF customer with SSL inspection enabled — LCM updates, VKS node packages, OS patches will silently fail if this bucket is blocked. Fix: add packages.broadcom.com to SSL bypass list (preferred), OR whitelist this S3 bucket. [Bypass SSL]",YES — SSL Inspection environments,All VCF (SSL inspection proxies),"Customer-reported (German financial institution — Zscaler). Confirmed: packages.broadcom.com → JFrog Cloud SaaS → HTTP 302 redirect → jfrog-prod-usw2-shared-oregon-main.s3.amazonaws.com for byte delivery. Zero product source code hardcoding — pure CDN backing infrastructure."
*.vmware.com.edgekey.net,TCP 443,CDN Backing Infrastructure — SSL Inspection,"ZSCALER / SSL-INSPECTION ENVIRONMENTS ONLY. VMware/Broadcom content served via Akamai CDN. DNS chain: dl.broadcom.com / projects.registry.vmware.com → CNAME → *.vmware.com.edgekey.net → Akamai edge IP. Zscaler resolves the full CNAME chain and logs the Akamai edge alias. WILDCARD REQUIRED — specific edge IDs (e.g. s14749d) rotate frequently; hardcoding exact hostnames will break. Fix: add *.vmware.com.edgekey.net to proxy bypass/allowlist. [Bypass SSL]",YES — SSL Inspection environments,All VCF (SSL inspection proxies),"Customer-reported (German financial institution — Zscaler). s14749d.vmware.com.edgekey.net confirmed as Akamai CNAME for VMware download content. Zero product source code hardcoding."
*.akamaiedge.net,TCP 443,CDN Backing Infrastructure — SSL Inspection,"ZSCALER / SSL-INSPECTION ENVIRONMENTS ONLY. Akamai CDN actual edge node hostname — the final hop after *.vmware.com.edgekey.net CNAME resolution. Pattern: e14749.dsce4.akamaiedge.net where e14749 is the edge node ID and dsce4 is the network region. WILDCARD REQUIRED — these hostnames change as Akamai rebalances load and assigns new edge nodes. Required alongside *.vmware.com.edgekey.net for full Akamai CDN coverage. [Bypass SSL]",YES — SSL Inspection environments,All VCF (SSL inspection proxies),"Customer-reported (German financial institution — Zscaler). e14749.dsce4.akamaiedge.net confirmed as Akamai edge node for VMware content delivery. Also: e751.dscd.akamaiedge.net found in automation/ContentHubUtil.java (commented-out Bitnami reference). Zero production source code hardcoding."
wp-content.broadcom.com.cdn.cloudflare.net,TCP 443,CDN Backing Infrastructure — SSL Inspection,"ZSCALER / SSL-INSPECTION ENVIRONMENTS ONLY. wp-content.vmware.com (transitioning to wp-content.broadcom.com) is served via Cloudflare CDN. DNS chain: wp-content.vmware.com → CNAME → wp-content.broadcom.com.cdn.cloudflare.net. Appears in proxy logs when customers download VCF product binaries from the Broadcom/VMware download portal. Fix: add wp-content.vmware.com and dl.broadcom.com to SSL bypass list. [Bypass SSL]",YES — SSL Inspection environments,All VCF Install (SSL inspection proxies),"Customer-reported (German financial institution — Zscaler). Confirmed as Cloudflare CDN edge for Broadcom WordPress download content. Zero product source code hardcoding."
