SCG ID,Product,Product Version,Component,Component Version,Feature/Function,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example,Audited in SCG Tools?,Remediated in SCG Tools?,DISA STIG Mapping,DISA STIG Requirement,DISA STIG Control Exceeds Baseline?,PCI DSS 4.0 Mapping,PCI DSS 4.0 Requirement,PCI DSS 4.0 Control Exceeds Baseline?,VCF Compatible,,,,,,,
esxi-8.cpu-hyperthread-warning,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,"Hyperthreading security warnings signify unaddressed CPU vulnerabilities in the system, and ignoring these could mask potential risks. Ensure that hardware remediations align with your organization's accepted risk, and if suppressing a warning, document the decision and rationale.",UserVars.SuppressHyperthreadWarning,0,0,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning | Set-AdvancedSetting -Value 0,TRUE,TRUE,ESXI-80-000223,0,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.dcui-timeout,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,Set a timeout to automatically terminate idle DCUI sessions on the ESXi host.,"DCUI allows direct login to the ESXi host for managing tasks. To prevent unintended DCUI usage from leftover login sessions, It is essential to terminate idle connections.",UserVars.DcuiTimeOut,600,600,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.DcuiTimeOut,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.DcuiTimeOut | Set-AdvancedSetting -Value 600,TRUE,TRUE,ESXI-80-000196,600,NO,8.2.8,15 minutes,NO,TRUE,,,,,,,
esxi-8.deactivate-cim,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi CIM service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop with host","Stopped,
Start and stop manually",NO,Modify,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'sfcbd-watchdog' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'sfcbd-watchdog' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'sfcbd-watchdog'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'sfcbd-watchdog'} | Stop-VMHostService",TRUE,TRUE,ESXI-80-000228,"Stopped,
Start and stop manually",NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.deactivate-mob,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi Managed Object Browser (MOB) must be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,Config.HostAgent.plugins.solo.enableMob,False,False,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob | Set-AdvancedSetting -Value False,TRUE,TRUE,ESXI-80-000047,False,NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.deactivate-shell,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi shell should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM'} | Stop-VMHostService",TRUE,TRUE,ESXI-80-000194,"Stopped,
Start and stop manually",NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.deactivate-slp,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi SLP service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'slpd' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'slpd' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'slpd'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'slpd'} | Stop-VMHostService",TRUE,TRUE,ESXI-80-000231,"Stopped,
Start and stop manually",NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.deactivate-snmp,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi SNMP service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop with host","Stopped,
Start and stop manually",NO,Modify,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'snmpd' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'snmpd' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'snmpd'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'snmpd'} | Stop-VMHostService",TRUE,TRUE,ESXI-80-000212,"Stopped,
Start and stop manually",NO,"2.2.4
2.2.5",N/A,N/A,TRUE,,,,,,,
esxi-8.deactivate-ssh,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi SSH service should be deactivated.,Services which are not in use and are non-essential for operations should be deactivated.,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM-SSH' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESXi | Where-Object {$_.Key -eq 'TSM-SSH' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM-SSH'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESXi | where {$_.Key -eq 'TSM-SSH'} | Stop-VMHostService",TRUE,TRUE,ESXI-80-000193,"Stopped,
Start and stop manually",NO,2.2.4,N/A,N/A,TRUE,,,,,,,
esxi-8.entropy,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must use sufficient entropy for cryptographic operations.,"Starting in vSphere 8.0, the ESXi Entropy implementation supports the FIPS 140-3 and EAL4 certifications. Kernel boot options control which entropy sources to activate on an ESXi host.",N/A,"disableHwrng = FALSE
entropySources = 0","disableHwrng = FALSE
entropySources = 0",YES,Audit,ESXi Shell,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.settings.kernel.list.Invoke() | Where {$_.Name -eq ""disableHwrng"" -or $_.Name -eq ""entropySources""}","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.settings.kernel.set.CreateArgs()
$arguments.setting = ""disableHwrng""
$arguments.value = ""FALSE""
$ESXcli.system.settings.kernel.set.invoke($arguments)
$arguments.setting = ""entropySources""
$arguments.value = ""0""
$ESXcli.system.settings.kernel.set.invoke($arguments)",TRUE,TRUE,ESXI-80-000245,"disableHwrng = FALSE
entropySources = 0",NO,"2.2.7
3.3.2
3.3.3
8.3.2",N/A,N/A,TRUE,,,,,,,
esxi-8.etc-issue,VMware vSphere,8,VMware ESXi,8.0.3,Base,P1,Configure the login banner for ESXi host SSH connections.,"ESXi enables a login message display, often used to deter intruders and inform authorized users about system use obligations. This parameter defines the text shown during an SSH connection. It is highly recommended to keep SSH in the stopped state unless troubleshooting.

An implementation inconsistency between ESXi and vCenter Server requires that ""issue"" in Config.Etc.issue be lowercase, to work in both scenarios.",Config.Etc.issue,Undefined,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.Etc.issue,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Config.Etc.issue | Set-AdvancedSetting -Value ""****************************************************************************`n* Authorized users only. Actual or attempted unauthorized use of this      *`n* system is prohibited and may result in criminal, civil, security, or     *`n* administrative proceedings and/or penalties. Use of this information     *`n* system indicates consent to monitoring and recording, without notice     *`n* or permission. Users have no expectation of privacy. Any information     *`n* stored on or transiting this system, or obtained by monitoring and/or    *`n* recording, may be disclosed to law enforcement and/or used in accordance *`n* with Federal law, State statute, and organization policy. If you are not *`n* an authorized user of this system, exit the system at this time.         *`n****************************************************************************`n""",TRUE,TRUE,ESXI-80-000191,Standard Mandatory DOD Notice and Consent Banner,YES,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.firewall-incoming-default,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must configure the firewall to block network traffic by default.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and preventing unauthorized access to the host.",N/A,Enabled,Enabled,YES,Audit,esxcli,None,Get-VMHost -Name $ESXi | Get-VMHostFirewallDefaultPolicy,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.defaultaction = $FALSE
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)",FALSE,FALSE,ESXI-80-000214,Enabled,NO,1.3.1,N/A,N/A,TRUE,,,,,,,
