Control ID,SCF ID,Description,Control Coverage,Response,,,,,,,,,,,,,,,,,,,,,
164.308(a)(1)(i),"GOV-02, CHG-01, CFG-01, MON-01, MON-01.16, IRO-01","A covered entity or business associate must, in accordance with § 164.306:

Standard: Security management process. Implement policies and procedures to prevent, detect, contain, and correct security violations.",Contributes,"VMware Cloud Foundation (VCF), VMware Live Recovery (VLR), and VMware vDefend collectively provide a robust technical framework to prevent, detect, contain, and correct security violations.

VCF components offer comprehensive change management through workflow approvals, ITSM integration, and role-based access controls, restricting unauthorized modifications. Configuration management features, including desired-state enforcement, drift detection, and integration with source control for templates, ensure system integrity. VMware vDefend directly prevents threats with distributed firewall capabilities, draft policy management, and IDS/IPS.

For detection, VCF Operations provides continuous monitoring of infrastructure health, performance metrics, and centralized log analysis with customizable alerting. VLR extends this with specific monitoring for replication status and RPO violations, while vDefend's Security Intelligence continuously monitors network traffic, detects anomalous flows, and correlates threat events across the environment.

Containment is supported by vDefend's quarantine policies, which isolate affected virtual machines, and AI-guided remediation workflows that can create immediate network-level containment rules.

Correction capabilities include VCF's automated remediation for configuration drift, vSphere HA for workload recovery, VLR's structured recovery plans with automated failover orchestration, and vDefend's intelligent assistance for creating remediation policies.

While these platforms deliver the essential technical mechanisms, the organization remains responsible for defining and implementing the overarching security management policies and procedures. This includes establishing specific guidelines for preventing, detecting, containing, and correcting security violations, assigning roles and responsibilities, and maintaining comprehensive documentation for the security management process.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(1)(ii)(A),RSK-04,"A covered entity or business associate must, in accordance with § 164.306:
Implementation specifications: 
Risk analysis (Required). Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity or business associate.",Not Applicable,"VMware Cloud Foundation provides a robust, secure, and compliant infrastructure foundation designed to host workloads, including those processing electronic protected health information. The platform incorporates security hardening, vulnerability management, and configuration compliance capabilities at the compute, storage, and network layers, contributing to a reduced attack surface and a more secure operating environment. However, the platform's technical capabilities are focused on the underlying infrastructure.

The comprehensive organizational risk analysis, which involves assessing potential risks and vulnerabilities to electronic protected health information across applications, data flows, business processes, and the overall operational environment, remains entirely the responsibility of the customer. This includes identifying and evaluating risks specific to their ePHI handling practices, data classification, and application-level security, independent of the underlying infrastructure platform.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(1)(ii)(B),"GOV-09, GOV-15.2","A covered entity or business associate must, in accordance with § 164.306:
Implementation specifications: 
Risk management (Required). Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with § 164.306(a).",Contributes,"VCF establishes a hardened, secure infrastructure foundation, implementing robust security controls across compute, storage, and networking layers. This includes secure configurations, automated patching, comprehensive logging, and granular access controls, all designed to reduce common infrastructure risks and vulnerabilities. The platform provides a secure environment that inherently contributes to an organization's overall security posture by mitigating a significant portion of underlying technical risks.

VCF does not define an organization's overall risk management program, conduct risk assessments, establish risk tolerance levels, or determine what constitutes a ""reasonable and appropriate level"" of risk reduction for specific organizational assets or data. The customer is responsible for establishing and maintaining a comprehensive risk management program, including defining policies, processes for identifying and assessing risks and vulnerabilities, and developing and implementing specific risk treatment plans. The customer must also ensure that the implemented security measures, including those provided by VCF, are sufficient to meet their defined risk reduction objectives.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(1)(ii)(C),HRS-07,"A covered entity or business associate must, in accordance with § 164.306:
Implementation specifications: 
Sanction policy (Required). Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity or business associate.",Not Applicable,"VMware Cloud Foundation provides a robust, secure, and compliant infrastructure for virtualized workloads, compute, storage, and networking. The platform's capabilities are focused on the technical security and operational integrity of the underlying infrastructure components.

It does not extend to human resource management, the definition of organizational sanction policies, or the enforcement of disciplinary actions against workforce members. The application of sanctions for non-compliance with security policies and procedures is an organizational responsibility, managed through internal HR processes and policies.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(1)(ii)(D),"MON-01, MON-01.8, MON-01.16, IRO-09","A covered entity or business associate must, in accordance with § 164.306:
Implementation specifications: 
Information system activity review (Required). Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.",Contributes,"VMware Cloud Foundation (VCF) provides comprehensive capabilities for generating, collecting, and analyzing records of information system activity. VCF Operations for Logs centralizes log data from vCenter, ESX hosts, NSX, and other VCF components, offering dashboards, analytics, and log-based alerts. The platform's audit events framework captures user logins, logouts, capability checks, and configuration changes across vSphere, vSAN, and NSX. VCF Operations includes a Troubleshooting Incidents page for managing incidents and integrates with ServiceNow for structured incident records, supporting incident tracking.

VMware Live Recovery (VLR) generates audit events for disaster recovery operations, including protection group modifications and replication lifecycle changes, with configurable alarms for event escalation. VLR monitors replication status, site connectivity, and recovery plan readiness, feeding data into the broader VCF monitoring ecosystem.

VMware vDefend generates security event logs from its Distributed Firewall, Gateway Firewall, and IDS/IPS components. Security Intelligence provides real-time network security monitoring, detecting and categorizing suspicious traffic events by severity, mapping them to MITRE ATT&CK tactics, and correlating individual detection events into campaigns for a consolidated view of ongoing incidents.

All platforms support syslog forwarding to external SIEMs for centralized event review and correlation.

While the platform provides robust technical instrumentation for monitoring, logging, and incident detection, the implementation of formal procedures for the regular review of these records, including defining review frequencies, assigning human accountability, and establishing organizational processes for incident notification, cross-functional response coordination, and resolution tracking, remains a customer responsibility.

The governance-level decisions regarding asset criticality, data sensitivity, and the prioritization of monitoring activities based on these classifications are organizational risk management functions.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(2),GOV-04,Standard: Assigned security responsibility. Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the covered entity or business associate.,Not Applicable,"The VCF platform delivers a robust, secure infrastructure foundation, encompassing compute, storage, networking, and management plane capabilities. This includes technical security services, logging, and infrastructure-level controls.

However, the control specifically mandates the identification of a human security official responsible for the development and implementation of organizational policies and procedures.

The platform's technical scope does not extend to defining organizational roles, assigning human accountability, or managing policy lifecycle processes. These are entirely organizational governance and human resource functions.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(3)(i),"GOV-02, CFG-08, IAC-01, IAC-08, IAC-21","Standard: Workforce security. Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Contributes,"VMware Cloud Foundation (VCF) provides a comprehensive, layered identity and access management architecture built on VCF SSO, which centralizes authentication, supports identity federation, and enables multi-factor authentication. Role-based access control (RBAC) is enforced across all VCF components, including vCenter, ESX, SDDC Manager, NSX, VCF Operations, and Kubernetes Namespaces, allowing for granular permissions and custom roles to implement least privilege. Fine-grained cryptographic operation privileges control access to encryption and decryption functions. VCF Automation enforces organizational and project-level isolation. VMware Live Recovery (VLR) extends RBAC to disaster recovery operations, defining roles for managing replication and recovery plans, and enforcing dual-site permission checks. VLR also offers encryption for replication traffic. VMware vDefend contributes to network-layer access control through microsegmentation and the Distributed Firewall, enforcing identity-aware policies and default-deny rule bases to restrict workload communication to only explicitly permitted flows. vDefend's own management plane implements RBAC with predefined roles to control access to security policy management, firewall rule administration, and threat analysis features, ensuring least privilege for security operations.

While these platforms provide robust technical controls for authentication, authorization, and network security, the organization is responsible for defining and implementing the overarching policies and procedures that govern appropriate access to electronic protected health information (ePHI) for its workforce. This includes establishing specific roles, assigning users to those roles, configuring access privileges based on job function, and developing procedures for managing access lifecycle, including provisioning, review, and revocation.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(3)(ii)(A),"HRS-01, IAC-07.1, IAC-08, IAC-28.1","Implementation specifications: 

Authorization and/or supervision (Addressable). Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.

",Contributes,"VMware Cloud Foundation (VCF) provides comprehensive role-based access control (RBAC) across its entire stack, including vCenter, NSX, SDDC Manager, VCF Operations, and VCF Automation. This enables granular authorization by restricting access to technology assets, applications, services, and data based on assigned roles and privileges. VCF components support predefined and custom roles, allowing administrators to define specific sets of permissions, such as read-only, edit, or full control, which can be assigned to users and groups. Changes to role assignments or modifications to predefined roles are applied immediately, ensuring that user access rights accurately reflect current job functions. VCF integrates with enterprise identity providers, allowing changes in directory service group memberships to automatically reflect in VCF access.

VMware Live Recovery (VLR) enforces RBAC through purpose-built roles registered in vCenter, providing distinct permissions for DR configuration, protection group management, and vSphere Replication operations, including dual-site permission checks for cross-site actions. VMware vDefend further extends RBAC to security policy management, controlling who can create or modify firewall rules within the Distributed Firewall and managing access to Security Services Platform and Security Intelligence features through defined roles.

VCF also offers technical capabilities that support management approval workflows for account creation and permission changes, including built-in approval policies in VCF Automation and access request approvals in VCF Operations, alongside logging of user account changes in NSX Manager for auditing purposes.

While VCF, VLR, and vDefend provide the essential technical mechanisms for authorization and the tooling to support approval workflows, the implementation of comprehensive procedures for the authorization and supervision of workforce members remains an organizational responsibility. The platforms do not encompass the full management approval lifecycle, dedicated user access review, or identity governance consoles.

Organizations must define and implement their own policies and processes for identifying when personnel roles change, initiating appropriate access modifications, and conducting regular access reviews. This typically requires integration of VCF's identity infrastructure with external Identity and Access Management (IAM) or IT Service Management (ITSM) platforms to manage the complete lifecycle of account requests and ensure ongoing supervision.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(3)(ii)(B),"HRS-02, HRS-03, IAC-17","Implementation specifications: 
Workforce clearance procedure (Addressable). Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.

",Contributes,"VMware Cloud Foundation provides robust capabilities that support the determination of appropriate workforce access to electronic protected health information. vCenter includes a privilege checks recorder that monitors and records privileges exercised during operations, allowing administrators to identify unused privileges during access reviews. VCF Operations offers User Permissions Audit reports, which consolidate user accounts, roles, access groups, and privileges, providing a clear view for validating access during periodic reviews. System administrators can leverage these insights to modify account attributes, revoke access, or delete accounts as needed. Furthermore, VCF Operations supports an access request approval workflow through the Automation Portal, requiring approval for new privilege grants via the Service Accounts tab before OAuth token access is provided.

VMware vDefend's Security Services Platform also supports periodic review of user privileges within its own management plane, offering an administrative interface to review and update role assignments for both local and directory-managed accounts, with RBAC controls governing access to Security Intelligence functions.

While VCF and vDefend offer essential technical tools and data for assessing access appropriateness, the organization is responsible for establishing and implementing the overarching workforce clearance procedures. This includes defining the policies, scheduling periodic access review campaigns, and tracking recertification efforts, which typically require integration with external identity governance tools. vDefend's contribution is specifically limited to privilege review within its own management interfaces, and does not extend to broader organizational access reviews.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(3)(ii)(C),"HRS-08, HRS-09, IAC-07, IAC-07.2","Implementation specifications: 
Termination procedures (Addressable). Implement procedures for terminating access to electronic protected health information when the employment of, or other arrangement with, a workforce member ends or as required by determinations made as specified in paragraph (a)(3)(ii)(B) of this section.",Contributes,"VMware Cloud Foundation provides robust technical mechanisms for the timely termination of access to electronic protected health information upon a workforce member's departure or role change. VCF leverages centralized identity management through Single Sign-On (SSO) and integrates with external identity providers such as Active Directory, LDAP, SAML, and OIDC. Changes to a user's status or group membership within the federated identity provider are automatically reflected in VCF permissions upon the next authentication event, ensuring that access is revoked in alignment with organizational directory updates. Administrators can directly manage and revoke user and group role assignments across VCF components, including vCenter, VCF Automation, and VCF Operations, through dedicated access control interfaces. VCF Automation supports explicit user account deactivation, which removes active access while preserving the account, and allows for the transfer of entity ownership to prevent orphaned resources. Furthermore, VCF enforces deployment lease policies that automatically shut down and destroy deployments after expiration, providing an additional safeguard against lingering resource access.

While VCF delivers the essential technical enforcement layer for access termination, the organization remains responsible for establishing and implementing the overarching procedures. This includes defining HR notification workflows, ensuring timely communication between HR and IT, establishing formal approval processes for access changes, and conducting periodic access reviews to validate entitlements.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(4)(i),"GOV-02, IAC-01",Standard: Information access management. Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Contributes,"VMware Cloud Foundation (VCF) establishes a comprehensive identity and access management architecture, leveraging VCF SSO as the centralized authentication service. This architecture issues security tokens for authenticated access to core platform components including vCenter, SDDC Manager, NSX Manager, and VCF Operations. Identity federation with enterprise identity providers such as Microsoft Entra ID, ADFS, and Okta is fully supported, enabling advanced authentication methods like multifactor authentication and automated user synchronization.

Role-based access control (RBAC) is consistently enforced across all VCF components. In vCenter, permissions link users or groups to roles on specific inventory objects, with options for predefined and custom roles to enforce least privilege. SDDC Manager provides granular RBAC for platform operations, while VCF Operations supports importing users and groups from VCF SSO and assigning roles for dashboards, reports, and administrative functions. VCF Automation extends these controls with organization-level and project-level access management, allowing for shared identity providers, token-based access, and predefined roles. For Kubernetes workloads, VMware Kubernetes Service implements namespace permission roles (Owner, Can Edit, Can View) that map to Kubernetes ClusterRoles, supporting both VCF SSO and external OpenID Connect providers. NSX integrates with LDAP and external identity management services for administrative access to networking configurations, complemented by network access policies that restrict communication based on user and workload identity.

Furthermore, VMware vDefend enhances these capabilities by providing identity-aware network enforcement through its Identity Firewall, which integrates with Active Directory to apply firewall policies based on authenticated user identity. Within its own management plane, vDefend's Security Services Platform and Security Intelligence implement RBAC with defined roles to control access to specific security functions.

While the VCF platform and vDefend provide robust technical mechanisms for authorizing and enforcing access to electronic protected health information, the explicit requirement to ""implement policies and procedures"" remains a customer responsibility. The customer must define, document, and maintain the specific organizational policies and procedures that govern access authorization, including criteria for granting, modifying, and revoking access, and ensuring these are consistent with applicable regulatory requirements. The platform provides the tools to enforce these customer-defined policies.",,,,,,,,,,,,,,,,,,,,,
164.308(a)(4)(ii)(A),GOV-02,"Implementation specifications: 
Isolating health care clearinghouse functions (Required). If a health care clearinghouse is part of a larger organization, the clearinghouse must implement policies and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.
",Not Applicable,"VCF provides a secure, isolated, and compliant infrastructure for hosting workloads, ensuring robust technical controls for data segregation and access management at the infrastructure layer. The platform's capabilities include logical separation, granular access controls, and network segmentation, which can be leveraged to create distinct environments.

However, the control specifically mandates the implementation of organizational policies and procedures to protect electronic protected health information from unauthorized access by a larger organization of which a healthcare clearinghouse is a part. The establishment and enforcement of these organizational-level policies and procedures, which govern internal access between distinct business units or functions within a customer's enterprise, are entirely within the customer's operational and governance domain.

VCF does not define, implement, or enforce these specific inter-organizational access policies or the procedures for isolating a clearinghouse's ePHI from its parent entity's internal operations.",,,,,,,,,,,,,,,,,,,,,
