Measure Number,SCF ID,Description,Relevant Regulation(s),Response,Control Coverage,,,,,,,,,,,,,,,,,,,
M2.03,"CRY-06, IAC-06","Privileged access shall be via secure, encrypted and authenticated protocols whenever technically viable.",4(4); 8(4); 8(5)(e),"VCF/TCP enforces this for all privileged access. All management interfaces, including the vCenter Client, VCF Operations console, and all component APIs, use Transport Layer Security (TLS 1.3/1.2) by default, ensuring all administrative traffic is encrypted. Authentication is centralized via VCF SSO, which federates with secure identity providers and can enforce multi-factor authentication (MFA). Direct access to ESX hosts is eliminated in favor of this centralized, encrypted, and authenticated model.",Meets,,,,,,,,,,,,,,,,,,,
M2.04,"CFG-03.1, CFG-03",Management protocols that are not required shall be disabled on all network functions and equipment.,3(3)(e); 7(4)(a)(ii); 8(4); 8(5)(e),"VCF/TCP enforces this by default. Management components are deployed in a ""secure-by-default"" configuration where unrequired services and protocols are disabled. This baseline is defined and monitored by VCF/TCP's compliance capabilities, which check against standards like the VMware Security Configuration Guide. Furthermore, the VMware vDefend Distributed Firewall applies a ""default-deny"" policy to management components, ensuring that even if a protocol were enabled, it would be blocked at the network layer unless explicitly permitted.",Meets,,,,,,,,,,,,,,,,,,,
M2.05,"IAC-10.8, IAC-10",Default passwords shall be changed upon initialisation of the device or service and before its use for the provision of the relevant network of service.,"7(4)(b); 8(2)(d); 8(4); 8(5)(b),(c)","VCF/TCP does not use generic, ""well-known"" default passwords. The requirement to change passwords upon initialization is enforced as a mandatory step in the deployment process. When you deploy VCF/TCP or its components, you must either specify a strong, unique password for each component account or have the system auto-generate a complex, random password. No default credentials are left on the device after this initial setup. After deployment, these passwords can be centrally managed, rotated, and remediated via the VCF Operations console. Password policies, such as complexity, history, and timeouts, are enforced by VCF SSO or can be federated to an external identity provider.",Meets,,,,,,,,,,,,,,,,,,,
M2.06,"TPM-05.4, TPM-08, GOV-04.1","The infrastructure used to support a provider's network shall be the responsibility of the provider, or another entity that adheres to the regulations, measures and oversight as they apply to the provider (such as a third party supplier with whom the provider has a contractual relationship). Where the provider or other entity adhering to the regulations has responsibility, this responsibility shall include retaining oversight of the management of that infrastructure (including sight of management activities, personnel granted management access, and management processes).","3(3)(d); 3(3)(f)(i),(ii),(iii); 3(5); 6(3)(d); 7(4)(a); 8(1); 8(6)","While the provider retains responsibility, VCF/TCP provides the necessary tools to maintain technical oversight. The VCF Operations suite, including VCF Operations, VCF Operations for Logs, and VCF Operations for Networks, delivers a centralized dashboard for monitoring infrastructure health, security, and configuration. This unified view, combined with real-time alerts and comprehensive audit logging, gives the provider the complete oversight required to manage VCF/TCP.",Contributes,,,,,,,,,,,,,,,,,,,
Signalling Plane 2,,, , , ,,,,,,,,,,,,,,,,,,,
M3.01,"AST-04, NET-03","Providers shall understand how incoming signalling arrives into their network, and outgoing signalling leaves their network. Specifically, the interfaces over which signalling enters and leaves the network, and the equipment which sends and processes external signalling.","3(3)(a),(b),(c); 4(4)(b),(c); 8(2)(a)","VCF/TCP provides specific tools to help providers understand their signalling flows. VCF Operations for Networks is designed to discover and map all network traffic, providing a visual representation of how signalling arrives, traverses VCF/TCP, and leaves the network. It identifies the interfaces, protocols, and equipment (virtual or physical) involved in the flow. This is complemented by VMware vDefend, which provides stateful firewalling and logging at the logical edge and for all internal workloads, allowing for granular monitoring and control of these identified signalling paths.",Contributes,,,,,,,,,,,,,,,,,,,
M3.02,"THR-10, AST-04",Providers shall have an appropriate understanding of what network equipment could be impacted by malicious signalling.,"3(3)(a),(b),(d); 4(6)(a); 6(1); 6(4); 7(4)(a)(i)","With VCF/TCP, the VMware vDefend Distributed Firewall can be implemented to protect every traffic flow inside the data center with a stateful firewall, allowing only necessary traffic flows, which helps in mitigating malicious activity. Administrators need to know how network equipment facilitates or complicates this process. Through the VCF Operations for Networks component, VCF/TCP provides visibility into virtual network traffic, helping detect network traffic patterns and potential risks. This requires a good understanding of how network equipment interacts with the monitoring tools.",Contributes,,,,,,,,,,,,,,,,,,,
M3.03,"RSK-04, THR-10",Providers shall have an appropriate understanding of what network and user data could be compromised through malicious signalling.,"3(3)(a),(b); 4(1)(a); 6(1); 6(2)(a),(b); 6(4); 8(2)(a)","VCF/TCP provides tools to help providers understand and mitigate data compromise from malicious signalling. The VMware vDefend Distributed Firewall can be implemented to apply zero-trust policies, protecting every traffic flow inside the data center and allowing only necessary communication, which helps mitigate malicious activity. This is complemented by VCF Operations for Networks, which provides deep visibility into virtual network traffic, helping administrators detect anomalous patterns and understand potential risks to network and user data.",Contributes,,,,,,,,,,,,,,,,,,,
M3.04,"NET-01.1, AST-04,NET-05",Providers shall understand who they directly connect with over the signalling network and operate on the principle that incoming signals are from untrusted networks.,"3(3)(a),(b); 6(1); 6(2)(a); 6(4); 7(1); 7(4)(a)(i),(ii),(iii)","VCF/TCP provides the tools to enforce a ""zero-trust"" model for all connections, as required by this measure. The VMware vDefend Distributed Firewall applies stateful, ""default-deny"" firewalling to every workload, ensuring that trust is never assumed based on network location. To help providers ""understand who they directly connect with,"" VCF Operations for Networks can visualize all traffic flows, mapping out dependencies and connections between internal workloads and external entities, which is essential for defining and auditing security policies.",Contributes,,,,,,,,,,,,,,,,,,,
M3.05,"NET-04.10, NET-04.1","At edge signalling nodes, providers shall block any incoming message using any source address internal to the provider's network.","3(3)(a),(d),(e); 4(4)(b); 6(3)(d)","VCF/TCP providers can implement this at their network edge using the vDefend Gateway Firewall. An explicit ""default-deny"" ingress rule can be created on the external-facing interface to drop any traffic that has a source IP address matching the provider's internal address ranges, preventing this form of source address spoofing.",Contributes,,,,,,,,,,,,,,,,,,,
M3.06,"NET-01.1, NET-04.1","Trust shall not be assumed based on the source of any incoming message. For example, UK source addresses (e.g. +44 global titles in SS7) shall not be assumed to be trusted and shall not be allowed by default.","3(3)(e); 4(4)(b),(c); 6(3)(d)","This measure describes the zero-trust security model, which is a foundational principle of VCF/TCP's design. VCF/TCP operates on the basis that no traffic is trusted by default, regardless of its source. This is enforced by the VMware vDefend Distributed Firewall, which applies distributed, stateful firewalling to every workload. Security policies are based on workload identity, not just IP addresses, ensuring that even traffic from a ""trusted"" internal segment must be explicitly permitted to communicate with a critical function.",Meets,,,,,,,,,,,,,,,,,,,
M3.07,"NET-09, IAC-04","Where the signalling message is protected by end-to-end authentication, risk decisions and associated security controls may be determined based upon the authenticated source.",3(3)(e); 4(4)(b); 6(3)(d),"The VMware vDefend Distributed Firewall can enforce security policies based on workload identity, which can be linked to an authenticated source. Furthermore, providers can deploy specialized NFs (as VNFs or CNFs) on the VCF/TCP that perform protocol-level authentication. VMware vDefend can then enforce security decisions, such as applying specific firewall policies or directing traffic, based on the validated status provided by these functions.",Contributes,,,,,,,,,,,,,,,,,,,
M3.08,"AST-03, TPM-04","Where providers allow others to use number ranges that have been allocated to them (e.g. GTs, IMSIs), they remain responsible for the activity related to that number range, and any further security implications. This does not apply in the case of MSISDNs shared through MNP.","3(3)(e); 4(1)(a),(b); 4(4)(b); 6(3)(d)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M3.09,"NET-04, NET-03",Any outgoing message that uses a source address that should not transit or leave the provider's network shall not be permitted to leave the provider's network.,4(1)(a); 4(2)(a); 4(4)(a); 6(1); 8(1),"VCF/TCP providers can enforce this egress filtering policy using the vDefend Gateway Firewall. By configuring stateful egress rules, any outbound traffic from the provider's network that has an invalid source address (e.g., an address that should not be routable externally) can be identified, logged, and dropped before it leaves the logical edge of the network.",Contributes,,,,,,,,,,,,,,,,,,,
M3.10,"NET-04, NET-04.1",Networks shall only send outgoing signalling in support of services permitted by the recipient. Guidance on what the GSMA has defined as permitted services is set out within Section 5 of GSMA's charging and accounting principles and Section 10 of GSMA's interconnection and interworking charging principles.,"4(4)(b); 6(1); 6(2)(a),(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M3.11,"MON-01, NET-03",External BGP updates shall be monitored for evidence of misuse.,"3(3)(e); 4(4)(b); 6(3)(a),(c),(d),(e); 9(2)(c)(i)","VCF Operations for Networks provides comprehensive network traffic monitoring and can track BGP routing updates. VCF/TCP captures and visualizes routing changes, providing administrators with visibility into BGP behavior. This monitoring data can be integrated with VCF Operations for Logs for centralized analysis and alerting on suspicious BGP activity patterns.",Contributes,,,,,,,,,,,,,,,,,,,
M3.12,"IRO-02, NET-04","Any BGP misuse that impacts a provider's network or services shall be mitigated in a timely manner, and at least within 12 hours whenever technically possible.","3(3)(e); 4(4)(b); 6(3)(a),(d); 8(1)","While BGP policy management is an organizational responsibility, VCF/TCP provides tools to support rapid response. VCF Operations for Networks delivers real-time visibility into routing changes, enabling rapid detection of BGP anomalies. VMware vDefend Gateway Firewall and NSX routing policies can be updated through APIs or the management interface to block malicious routes or traffic patterns within minutes of detection.",Contributes,,,,,,,,,,,,,,,,,,,
M3.13,"GOV-06, GOV-17",Providers shall ensure that contact details are current and accurate on all the Regional Internet Registries (e.g. RIPE) and should endeavour to keep other data sources accurate.,"3(3)(e); 4(1)(a),(b); 4(2)(a),(b); 8(1)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M3.14,"AST-02, AST-03",All address space and autonomous system number (ASN) resources allocated to a service provider shall be correctly recorded in such a way that it is simple to identify and contact the owner to assist in resolving issues.,"3(3)(e); 4(1)(a),(b); 4(2)(a),(b); 15(5)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M3.15,"NET-04, NET-04.1",Providers shall implement ingress and egress route filtering.,"3(3)(e); 4(2)(a),(b); 4(4)(b); 6(1); 6(2)(a); 8(1)","VCF/TCP implements ingress and egress route filtering primarily through NSX and BGP filtering, allowing for granular control over network traffic and enhancing security within the VCF/TCP.",Contributes,,,,,,,,,,,,,,,,,,,
M3.16,"NET-04.10, NET-04.1",Providers shall adopt and implement mechanisms that prevent IP address spoofing.,"3(3)(e); 4(2)(a),(b); 4(4)(b); 6(1); 6(2)(a); 8(1)","Platform, particularly through its integration with NSX's SpoofGuard, offers mechanisms to address IP spoofing on the data plane.",Contributes,,,,,,,,,,,,,,,,,,,
M3.17,"THR-01, IRO-02.5","The provider shall share such details, as are appropriate and proportionate, of any BGP misuse with other providers where it may cause a connected security compromise.",6(3)(d); 15(1); 15(2); 15(3); 15(4),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M3.18,"NET-04, NET-04.1",An external path update that includes a prefix owned by the provider shall not be accepted.,3(3)(e); 4(4)(b); 6(3)(d); 8(1); 8(3),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M3.19,"NET-04.10, NET-04",End-users shall not be able to spoof IPs over the data plane (e.g. in line with BCP38).,3(3)(e); 4(4)(b); 6(1); 6(2)(a); 8(1),"VCF/TCP provides robust mechanisms to prevent IP spoofing on the data plane, directly aligning with BCP38 principles. This is primarily achieved through NSX SpoofGuard and the VMware vDefend Distributed Firewall. NSX SpoofGuard is a data plane security feature that creates and maintains a trusted table of IP, MAC, and vNIC port bindings. It actively monitors traffic from virtual machines and blocks any packets that do not match these approved and verified bindings. This capability is complemented by the VMware vDefend Distributed Firewall, which uses identity-based firewalling to enforce zero-trust security policies. Spoofed traffic that violates these granular, stateful policies is automatically dropped, preventing lateral movement. At the network edge, the vDefend Gateway Firewall can be configured to filter ingress and egress traffic, further ensuring that packets with spoofed source addresses are blocked.",Contributes,,,,,,,,,,,,,,,,,,,
Third Party Supplier Measures 1,,, , , ,,,,,,,,,,,,,,,,,,,
M4.01,"TPM-04.1, RSK-09","The provider shall ensure the risks included in Regulation 7(3) are assessed prior to contract, and this assessment is documented. This assessment shall inform both risk management and procurement processes.",3(3)(e); 7(1); 7(4)(a)(i),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M4.02,"TPM-04.1, TPM-02","During procurement of equipment, prior to contract award, it is recommended that providers should, as a minimum, use the guidance contained in NCSC's vendor security assessment to assess third party suppliers (as contained in Annex B).","3(3)(a),(b),(d),(e); 3(5); 7(1); 7(4)(a)(i); 10(1); 10(2)(a),(b); 10(4); 13(2)(d)(i),(ii); 14(1)",Broadcom supports customer supply chain and procurement security processes for on-premises VMware Cloud Foundation/VMware Telco Cloud platform implementations. The platform includes capabilities for software bill of materials (SBOM) tracking and supports secure software development lifecycle practices.,Contributes,,,,,,,,,,,,,,,,,,,
M4.03,"TDA-17, SEA-02.3","The provider shall record all equipment that remains in use but has reached the vendor's end-of-life date. Providers shall regularly review their use of this equipment, with a view to reducing the risk of a security compromise occurring as a result of unsupported equipment remaining in use.","3(3)(a),(b); 3(4); 7(1); 7(4)(c); 11","Organizational implementation; outside platform scope.

Broadcom, as a supplier of services, keeps its products lifecycle information up to date in the Product Lifecycle Matrix at: https://support.broadcom.com/group/ecx/productlifecycle

Broadcom maintains its products during the published lifecycle, including maintenance updates, security patches, bug fixes, and new features. Information and product downloads can be found at Broadcom’s Support portal: https://support.broadcom.com/",Not Applicable,,,,,,,,,,,,,,,,,,,
M4.04,"TDA-17, IAO-05","The provider shall produce a plan to replace the unsupported equipment at an appropriate time, dependent on the level of risk.","3(3)(a),(b); 3(4); 7(1); 7(4)(c); 7(5); 11","While this measure is applicable to providers, Broadcom, as a supplier of services, keeps its products lifecycle information up to date in the Product Lifecycle Matrix - https://support.broadcom.com/group/ecx/productlifecycle
Broadcom maintains its products during the published lifecycle, including maintenance updates, security patches, bug fixes, and new features. Information and product downloads can be found at Broadcom’s Support portal - https://support.broadcom.com/",Contributes,,,,,,,,,,,,,,,,,,,
M4.05,"RSK-04.1, RSK-11",The provider shall record all risk management processes undertaken. Guidance on risk management processes can be found on the NCSC website.,3(1); 7(1); 7(4)(c); 7(5); 11,Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M4.06,"IAC-12.1, CRY-09, IAC-21",Providers shall only store SIM credentials and SIM transport keys within secured systems that ensure data integrity and prevent 'read' access to key material.,4(6); 7(1); 7(4)(a)(i); 7(4)(b); 8(5)(a),"This measure relates to provider-specific functions (SIMs). VCF provides the secure infrastructure to host these functions. A provider's credentialing system can be run as an encrypted virtual machine (VM Encryption) with a virtual Trusted Platform Module (vTPM). This vTPM provides a hardware-backed secure storage equivalent for the VM to store keys and secrets, preventing their extraction. The underlying physical ESX hosts can also use hardware TPMs to store their own configuration encryption keys, ensuring keys are not available in cleartext on disk.",Contributes,,,,,,,,,,,,,,,,,,,
M4.07,"IAO-02, CRY-01.5","Providers shall review the security of existing SIM cards on an annual basis, including the supplier, the protection of keys, the algorithms used by the SIM, and the applets provisioned and running on SIMs.",3(3)(a); 4(6); 7(1); 7(4)(a)(i); 7(4)(b); 8(5)(a); 8(6); 11,Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M4.08,"CRY-01.5, TDA-17","Providers shall phase out the use of SIMs that present an unmitigatable security risk, such as the use of deprecated security algorithms.",4(6)(b),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
Supporting Business Procedures,,, , , ,,,,,,,,,,,,,,,,,,,
M5.01,"GOV-01, RSK-01, AST-01, BCD-01, SAT-01, IRO-04, IRO-13","The provider shall implement appropriate business processes. In order to achieve this, providers shall have regard to implementing the parts of the CAF that define the provider's business processes. These are contained within Annex C. These are: A1-Governance; A2-Risk Management; A3-Asset Management; B5-Resilient Networks and Systems; B6-Staff Awareness and Training; D1-Response and Recovery Planning; D2-Lessons Learned.","10(2)(a),(b),(c),(d),(e),(f); 10(4)","Organizational implementation; outside platform scope.

However, Broadcom strives to achieve a high level of information protection standards. Relevant policies for information security have been established that are in line with Broadcom's corporate objectives and in accordance with business requirements, relevant laws and regulations, contracts, and current or projected security threats. Based on international standards ISO/IEC 27001 and consistent with industry-accepted practices and security frameworks, Broadcom information security policies define requirements for the protection of Broadcom information and its information systems. ",Not Applicable,,,,,,,,,,,,,,,,,,,
M5.02,"CHG-02, CHG-03, RSK-04.1","Security changes shall be prioritised and postponements of security changes shall be minimised. Where security changes are postponed, these may need to be recorded as a business risk as appropriate.","3(3)(a),(b); 3(4); 4(1); 4(2); 4(4)(b); 7(1); 7(5)(a),(b); 10(2)(a),(b),(c),(d),(e); 12(a)(b)(c); 13(1)(a)(b); 13(2)(a),(b)","VCF/TCP provides a suite of integrated lifecycle management tools that directly enable providers to prioritize and deploy security changes. Broadcom maintains a security advisory system to inform customers of updates, and the VCF Operations console provides built-in alerts for security vulnerabilities and available patches, allowing providers to identify and prioritize critical changes. VCF Operations orchestration and vSphere Lifecycle Manager (vLCM) centralize and automate the update process for the entire stack. Features like pre-update validation, component interdependency management, and staged rollouts allow for controlled deployment. This, combined with zero-downtime maintenance capabilities (using Distributed Resource Scheduler) and Live Patching, empowers providers to apply high-priority security changes rapidly and safely, minimizing the need for postponement and reducing the associated risk.",Contributes,,,,,,,,,,,,,,,,,,,
M5.03,"BCD-11, BCD-12.4",Providers shall maintain read-only backups of their infrastructure and information and shall be able to restore them. The backups should contain the information necessary to maintain the normal operation of the public electronic communications network or public electronic communications service.,"3(3)(d); 4(1); 4(2); 4(4)(b); 7(1); 7(5)(a),(b); 8(5)(d); 9(2)(a),(b); 9(2)(c)(vii)","VCF/TCP leverages built-in backup features for core management components like VCF Operations, vCenter Server Appliance, and NSX Manager. These backups capture the configuration and state of VCF/TCP. VMware Telco Cloud Platform extends this by also backing up configurations of orchestration layers (e.g., VMware Telco Cloud Automation - TCA, OpenStack controllers, Kubernetes etcd databases) and crucial VNF/CNF definitions/templates. It is the provider's responsibility to integrate these with secure, immutable external storage solutions and validate the restoration process.",Contributes,,,,,,,,,,,,,,,,,,,
M5.04,"IRO-04, IRO-06","Providers shall have clear, exercised and implemented processes for managing security incidents, at varying levels of severity.","3(3)(d); 4(1); 4(2); 4(4)(b); 7(1); 7(5)(a),(b); 9(2)(c)(iv); 10(2)(a),(b),(c),(d); 13(2)(a),(b)","While the development of an incident response process is an organizational responsibility, VCF/TCP provides a suite of tools for detection, containment, and automated response. VCF Operations and VMware vDefend (with its IDS/IPS) detect threats and can trigger alerts. For investigation, analysts can use VCF Operations for Networks to visualize the incident's network traffic and application dependencies, and VCF Operations for Logs to correlate logs from all VCF/TCP components. VCF Automation can then consume these alerts to orchestrate a formal response runbook, such as automatically quarantining the workload, taking a forensic snapshot, and notifying the incident response team.",Contributes,,,,,,,,,,,,,,,,,,,
M5.05,"IRO-13, GOV-01.2","Providers shall perform a root-cause analysis of all security incidents. Outcomes of this analysis shall be escalated to an appropriate level, which may include the provider's board.","3(3)(a),(b),(d); 3(4); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 7(1); 7(5)(a),(b); 9(2)(c)(i); 10(2)","While the analysis itself is an organizational process, VCF/TCP provides the critical, centralized audit trail required to perform it. VCF Operations for Logs collects and securely stores all relevant logs from every VCF/TCP component, including ESX, vCenter, and NSX. More importantly, the VCF Operations Audit Events framework and Kubernetes audit logging capture all privileged actions, API calls, and configuration modifications, attributing them to a unique user. This queryable, immutable log data is the foundation for any post-incident root-cause analysis.",Contributes,,,,,,,,,,,,,,,,,,,
M5.06,"IRO-13, IRO-02.5","For significant incidents, providers shall share the high-level lessons learned with other providers, so far as is appropriate and proportionate.","15(1),(2),(3),(4)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M5.07,"IRO-13, TDA-02",Lessons learned from previous security incidents shall be used to inform the security of new products and services.,"3(3)(a),(b); 3(4); 10(2)(a),(b); 10(2)(e); 13(2)(a),(b),(c),(d)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
Management Plane 2,,, , , ,,,,,,,,,,,,,,,,,,,
M6.01,"IAC-01.2, IAC-02, IAC-08, IAC-17",Non-persistent credentials (e.g. username and password authentication) shall be stored in a centralised service with appropriate role-based access control which shall be updated in line with any relevant changes to roles and responsibilities within the organisation.,"3(3)(a),(b),(d); 3(5); 6(2); 6(3)(b),(d); 8(1); 8(2)(f); 8(5)(a)","VCF/TCP meets this requirement by default. All user credentials for VCF/TCP are managed by VCF SSO, which acts as the centralized authentication service. VCF SSO integrates with identity sources like Active Directory or LDAP, centralizing credential management. All permissions are then enforced through granular role-based access control (RBAC), allowing roles to be updated in line with organizational changes without changing the underlying credential store.",Meets,,,,,,,,,,,,,,,,,,,
M6.02,"IAC-16, IAC-19",Privileged access shall be via accounts with unique user ID and authentication credentials for each user and these shall not be shared.,"8(2)(b); 8(4); 8(5)(a),(b),(c)","This is a foundational principle of VCF/TCP's access model. VCF SSO requires each administrator to authenticate with their own unique user ID, typically federated from an enterprise directory like Active Directory. This ensures all privileged actions, which are logged by the VCF Operations Audit Events framework, are traceable to a specific, unique individual, eliminating the need for shared administrative accounts.",Contributes,,,,,,,,,,,,,,,,,,,
M6.03,"IAC-06.4, IAC-06.1","For accounts capable of making changes to security critical functions, the following measures shall be adopted relating to multi-factor authentication: (a) the second factor shall be locally generated, and not be transmitted; and (b) the multi-factor authentication mechanism shall be independent of the provider's network and PAW. Soft tokens (e.g. authenticator apps) may be used.","8(4); 8(2)(b); 8(5)(a),(b),(e)","VCF/TCP supports this through identity federation. VCF SSO integrates with modern identity providers (such as Okta, Ping, ADFS) using standard protocols like SAML 2.0 and OIDC. This allows the provider to enforce their enterprise-wide MFA policy, which typically uses locally generated soft tokens (e.g., authenticator apps) or hardware tokens that are independent of the provider's network, to secure all privileged access to the VCF/TCP.",Contributes,,,,,,,,,,,,,,,,,,,
M6.04,"IAC-15.9, IAC-19","All break-glass privileged user accounts must have unique, strong credentials per individual piece of network equipment.","3(1)(a),(b),(c); 8(2)(b); 8(5)(a),(b),(c); 9(2)(c)(vi)","VCF/TCP provides the centralized tools to manage and secure break-glass privileged accounts, fulfilling the requirement for unique credentials per device. The VCF Operations console features unified password management for all VCF components. This allows an administrator to update and remediate passwords for each piece of network equipment, such as setting unique passwords for each individual ESX host, vCenter instance, or NSX Manager. This feature gives administrators a consolidated view of all break-glass accounts, their current status, and any remediation needs, ensuring all components maintain their required strength and uniqueness from a single, secure console.",Contributes,,,,,,,,,,,,,,,,,,,
