Control ID,Description
CR 1.3,"Account management: Support management of all accounts by authorized users (adding, activating, modifying, disabling, removing)."
CR 1.4,Identifier management: Support the management of identifiers to ensure uniqueness over time.
CR 1.5,"Authenticator management: Support the management of authenticators (passwords, tokens, keys) used by the component.

Hardware security for authenticators: Capability to protect authenticators using hardware mechanisms (e.g., TPM).

Authenticator management enhancement: Additional requirements for secure authenticator storage."
CR 1.5(1),"Authenticator management: Support the management of authenticators (passwords, tokens, keys) used by the component.

Hardware security for authenticators: Capability to protect authenticators using hardware mechanisms (e.g., TPM).

Authenticator management enhancement: Additional requirements for secure authenticator storage."
CR 1.6,Wireless access management: Capability to identify and authenticate all users and devices on wireless networks.
CR 1.7,"Password strength enhancement: Capability to enforce specific password complexity rules.

Strength of password-based authentication: Enforce configurable password strength requirements."
CR 1.7(1),"Password strength enhancement: Capability to enforce specific password complexity rules.

Strength of password-based authentication: Enforce configurable password strength requirements."
CR 1.8,Public key infrastructure certificates: Capability to use and validate digital certificates.
CR 1.9,"Strength of function: Ensure that authentication mechanisms are robust against brute force attacks.

Strength of function enhancement: Specific metrics for resistance to automated login attempts."
CR 1.9(1),"Strength of function: Ensure that authentication mechanisms are robust against brute force attacks.

Strength of function enhancement: Specific metrics for resistance to automated login attempts."
CR 2.1,"Authorization enforcement: Enforce assigned privileges to all users and software processes.

Limit use of privileged accounts: Restrict the use of privileged accounts to only necessary tasks.

Mapping of users to roles: Support the mapping of users to specific authorized roles.

Supervisor override: Capability for a supervisor to override certain locks/blocks.

Dual control: Require two authorized individuals to perform certain sensitive actions.

Response to audit processing failures: Capability to protect audit record generation in case of failure.

Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering.

Non-repudiation: Capability to provide evidence that a user performed a specific action.

Non-repudiation for digital signatures: Use of digital signatures for non-repudiation of origin/receipt.

Physical tamper resistance and detection: Capability to detect physical tampering of the component."
CR 2.1(1),"Authorization enforcement: Enforce assigned privileges to all users and software processes.

Limit use of privileged accounts: Restrict the use of privileged accounts to only necessary tasks.

Mapping of users to roles: Support the mapping of users to specific authorized roles.

Supervisor override: Capability for a supervisor to override certain locks/blocks.

Dual control: Require two authorized individuals to perform certain sensitive actions.

Response to audit processing failures: Capability to protect audit record generation in case of failure.

Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering.

Non-repudiation: Capability to provide evidence that a user performed a specific action.

Non-repudiation for digital signatures: Use of digital signatures for non-repudiation of origin/receipt.

Physical tamper resistance and detection: Capability to detect physical tampering of the component."
CR 2.1(2),"Authorization enforcement: Enforce assigned privileges to all users and software processes.

Limit use of privileged accounts: Restrict the use of privileged accounts to only necessary tasks.

Mapping of users to roles: Support the mapping of users to specific authorized roles.

Supervisor override: Capability for a supervisor to override certain locks/blocks.

Dual control: Require two authorized individuals to perform certain sensitive actions.

Response to audit processing failures: Capability to protect audit record generation in case of failure.

Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering.

Non-repudiation: Capability to provide evidence that a user performed a specific action.

Non-repudiation for digital signatures: Use of digital signatures for non-repudiation of origin/receipt.

Physical tamper resistance and detection: Capability to detect physical tampering of the component."
CR 2.1(3),"Authorization enforcement: Enforce assigned privileges to all users and software processes.

Limit use of privileged accounts: Restrict the use of privileged accounts to only necessary tasks.

Mapping of users to roles: Support the mapping of users to specific authorized roles.

Supervisor override: Capability for a supervisor to override certain locks/blocks.

Dual control: Require two authorized individuals to perform certain sensitive actions.

Response to audit processing failures: Capability to protect audit record generation in case of failure.

Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering.

Non-repudiation: Capability to provide evidence that a user performed a specific action.

Non-repudiation for digital signatures: Use of digital signatures for non-repudiation of origin/receipt.

Physical tamper resistance and detection: Capability to detect physical tampering of the component."
CR 2.1(4),"Authorization enforcement: Enforce assigned privileges to all users and software processes.

Limit use of privileged accounts: Restrict the use of privileged accounts to only necessary tasks.

Mapping of users to roles: Support the mapping of users to specific authorized roles.

Supervisor override: Capability for a supervisor to override certain locks/blocks.

Dual control: Require two authorized individuals to perform certain sensitive actions.

Response to audit processing failures: Capability to protect audit record generation in case of failure.

Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering.

Non-repudiation: Capability to provide evidence that a user performed a specific action.

Non-repudiation for digital signatures: Use of digital signatures for non-repudiation of origin/receipt.

Physical tamper resistance and detection: Capability to detect physical tampering of the component."
CR 2.11,"Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering."
CR 2.11(1),"Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering."
CR 2.11(2),"Timestamps: Capability to include timestamps in audit records.

Time synchronization: Capability to synchronize the component clock with an NTP source.

Time synchronization protection: Protect the time synchronization process from tampering."
CR 2.12,"Non-repudiation: Capability to provide evidence that a user performed a specific action.

Non-repudiation for digital signatures: Use of digital signatures for non-repudiation of origin/receipt."
CR 2.12(1),"Non-repudiation: Capability to provide evidence that a user performed a specific action.

Non-repudiation for digital signatures: Use of digital signatures for non-repudiation of origin/receipt."
CR 2.2,Wireless use control: Capability to authorize and restrict the use of wireless communications.
CR 2.5,Session lock: Inhibit further access to the component after a period of inactivity.
CR 2.6,Remote session termination: Capability to terminate a remote session by an authorized user.
CR 2.7,Session termination: Automatically terminate local/remote sessions after defined conditions.
CR 2.8,Auditable events: Capability to generate audit records for security-relevant events.
CR 2.9(1),"Audit storage capacity: Capability to define behavior when audit storage is full.

Audit storage alert: Capability to provide a warning when audit storage is near capacity."
CR 3.1,"Communication integrity: Components shall provide the capability to protect the integrity of data in transit.

Communication integrity enhancement: Use of cryptographic mechanisms to protect integrity.

Support for updates: Provide a mechanism to verify and apply security updates.

Physical tamper resistance/detection: Capability to detect or resist physical tampering.

Provisioning Product: Ensure secure provisioning of the product during manufacturing.

Integrity of the boot process: Verify the integrity of the boot process (Secure Boot).

Integrity of data at rest: Protect the integrity of sensitive data stored on the component."
CR 3.1(1),"Communication integrity: Components shall provide the capability to protect the integrity of data in transit.

Communication integrity enhancement: Use of cryptographic mechanisms to protect integrity.

Support for updates: Provide a mechanism to verify and apply security updates.

Physical tamper resistance/detection: Capability to detect or resist physical tampering.

Provisioning Product: Ensure secure provisioning of the product during manufacturing.

Integrity of the boot process: Verify the integrity of the boot process (Secure Boot).

Integrity of data at rest: Protect the integrity of sensitive data stored on the component."
CR 3.10,Support for updates: Provide a mechanism to verify and apply security updates.
CR 3.11,Physical tamper resistance/detection: Capability to detect or resist physical tampering.
CR 3.12,Provisioning Product: Ensure secure provisioning of the product during manufacturing.
CR 3.13,Integrity of the boot process: Verify the integrity of the boot process (Secure Boot).
CR 3.14,Integrity of data at rest: Protect the integrity of sensitive data stored on the component.
CR 3.3,"Security functionality verification: Provide the capability to verify the correct operation of security functions.

Verification during boot: Verify security functions during the boot process."
CR 3.3(1),"Security functionality verification: Provide the capability to verify the correct operation of security functions.

Verification during boot: Verify security functions during the boot process."
CR 3.4,"Software and information integrity: Provide the capability to verify the integrity of software, firmware, and data at rest.

Authenticity of software/firmware: Capability to verify the authenticity of software and firmware before installation.

Automated notification of integrity violations: Provide automated notification if integrity violations are detected."
CR 3.4(1),"Software and information integrity: Provide the capability to verify the integrity of software, firmware, and data at rest.

Authenticity of software/firmware: Capability to verify the authenticity of software and firmware before installation.

Automated notification of integrity violations: Provide automated notification if integrity violations are detected."
CR 3.4(2),"Software and information integrity: Provide the capability to verify the integrity of software, firmware, and data at rest.

Authenticity of software/firmware: Capability to verify the authenticity of software and firmware before installation.

Automated notification of integrity violations: Provide automated notification if integrity violations are detected."
CR 3.5,Input validation: Provide the capability to validate the syntax and content of all inputs.
CR 3.6,Deterministic output: Ensure that the component produces deterministic output for given inputs.
CR 3.7,Error handling: Ensure that the component does not provide information in error messages that could be used by an attacker.
CR 3.8(a),"Session integrity: Protect the integrity of communication sessions at the application layer.

Invalidate session identifiers: Capability to invalidate session identifiers upon logout or timeout.

Unique session identifiers: Generate unique session identifiers."
CR 3.8(b),"Session integrity: Protect the integrity of communication sessions at the application layer.

Invalidate session identifiers: Capability to invalidate session identifiers upon logout or timeout.

Unique session identifiers: Generate unique session identifiers."
CR 3.8(c),"Session integrity: Protect the integrity of communication sessions at the application layer.

Invalidate session identifiers: Capability to invalidate session identifiers upon logout or timeout.

Unique session identifiers: Generate unique session identifiers."
CR 3.9,"Audit storage capacity: Ensure sufficient storage for audit records and define behavior when full.

Warning on capacity: Provide a warning when audit storage reaches a defined threshold."
CR 3.9(1),"Audit storage capacity: Ensure sufficient storage for audit records and define behavior when full.

Warning on capacity: Provide a warning when audit storage reaches a defined threshold."
CR 4.1(a),Data in transit confidentiality: Protect the confidentiality of sensitive data in transit.
CR 4.2,"Information persistence: Purge sensitive information from resources before they are reassigned.

Erase volatile memory: Capability to erase volatile memory upon power-off.

Erase non-volatile memory: Capability to erase non-volatile memory upon command."
CR 4.2(1),"Information persistence: Purge sensitive information from resources before they are reassigned.

Erase volatile memory: Capability to erase volatile memory upon power-off.

Erase non-volatile memory: Capability to erase non-volatile memory upon command."
CR 4.2(2),"Information persistence: Purge sensitive information from resources before they are reassigned.

Erase volatile memory: Capability to erase volatile memory upon power-off.

Erase non-volatile memory: Capability to erase non-volatile memory upon command."
CR 4.3,Use of cryptography: Use industry-recognized cryptographic standards and algorithms.
CR 5.1,Network segmentation: Capability to support logical or physical network segmentation.
CR 5.2,Zone boundary protection: Control data flow through zone boundaries.
CR 5.3,"General purpose person-to-person communication: Restrict person-to-person communication (e.g., email) from IACS components."
CR 6.1,"Audit reporting: Capability to report audit records to a centralized repository.

Automated reporting: Provide automated transmission of audit records."
CR 6.1(1),"Audit reporting: Capability to report audit records to a centralized repository.

Automated reporting: Provide automated transmission of audit records."
CR 6.2,Continuous monitoring: Capability to monitor for security-relevant events continuously.
CR 7.1,"Denial of service protection: Capability to maintain essential functions during a DoS attack.

Resource management: Manage resources to prevent exhaustion."
CR 7.1(1),"Denial of service protection: Capability to maintain essential functions during a DoS attack.

Resource management: Manage resources to prevent exhaustion."
CR 7.2,Resource management: Allocate resources to prioritize essential functions.
CR 7.3,"Control system backup: Support the backup of configuration and user data.

Verify backup integrity: Capability to verify the integrity of backups."
CR 7.3(1),"Control system backup: Support the backup of configuration and user data.

Verify backup integrity: Capability to verify the integrity of backups."
CR 7.4,Control system recovery and reconstitution: Capability to recover to a known secure state.
CR 7.6,"Network and security configuration settings: Protect configuration settings from unauthorized changes.

Automated configuration monitoring: Monitor for unauthorized configuration changes."
CR 7.6(1),"Network and security configuration settings: Protect configuration settings from unauthorized changes.

Automated configuration monitoring: Monitor for unauthorized configuration changes."
CR 7.7,"Least functionality: Disable unnecessary ports, protocols, and services."
CR 7.8,Component inventory: Capability to provide a list of hardware and software components.
EDR 2.13,"Physical tamper resistance and detection: Capability to detect physical tampering of the embedded device.

Tamper response: Take defined actions (e.g., zeroize keys) upon tamper detection."
EDR 2.13(1),"Physical tamper resistance and detection: Capability to detect physical tampering of the embedded device.

Tamper response: Take defined actions (e.g., zeroize keys) upon tamper detection."
EDR 2.4,"Mobile code integrity: Verify the integrity of mobile code before execution.

Mobile code authenticity: Verify the authenticity of mobile code before execution.

Mobile code authorization: Allow only authorized mobile code to execute.

Mobile code security: Provide the capability to enforce a security policy for mobile code.

Mobile code execution environment: Run mobile code in a confined environment."
EDR 2.4(1),"Mobile code integrity: Verify the integrity of mobile code before execution.

Mobile code authenticity: Verify the authenticity of mobile code before execution.

Mobile code authorization: Allow only authorized mobile code to execute.

Mobile code security: Provide the capability to enforce a security policy for mobile code.

Mobile code execution environment: Run mobile code in a confined environment."
EDR 2.4(a),"Mobile code integrity: Verify the integrity of mobile code before execution.

Mobile code authenticity: Verify the authenticity of mobile code before execution.

Mobile code authorization: Allow only authorized mobile code to execute.

Mobile code security: Provide the capability to enforce a security policy for mobile code.

Mobile code execution environment: Run mobile code in a confined environment."
EDR 2.4(b),"Mobile code integrity: Verify the integrity of mobile code before execution.

Mobile code authenticity: Verify the authenticity of mobile code before execution.

Mobile code authorization: Allow only authorized mobile code to execute.

Mobile code security: Provide the capability to enforce a security policy for mobile code.

Mobile code execution environment: Run mobile code in a confined environment."
EDR 2.4(c),"Mobile code integrity: Verify the integrity of mobile code before execution.

Mobile code authenticity: Verify the authenticity of mobile code before execution.

Mobile code authorization: Allow only authorized mobile code to execute.

Mobile code security: Provide the capability to enforce a security policy for mobile code.

Mobile code execution environment: Run mobile code in a confined environment."
EDR 3.10,"Support for updates: Embedded device capability to support secure software/firmware updates.

Update authenticity: Verify authenticity of updates via digital signatures."
EDR 3.10(1),"Support for updates: Embedded device capability to support secure software/firmware updates.

Update authenticity: Verify authenticity of updates via digital signatures."
EDR 3.11,"Physical tamper resistance and detection (SI): Integrity-based tamper detection for hardware.

Hardware-based integrity: Use hardware (e.g., TPM) to verify device integrity."
EDR 3.11(1),"Physical tamper resistance and detection (SI): Integrity-based tamper detection for hardware.

Hardware-based integrity: Use hardware (e.g., TPM) to verify device integrity."
EDR 3.12,Provisioning Product: Ensure secure unique identity provisioning during manufacturing.
EDR 3.13(a),"Integrity of boot process: Verify firmware integrity before execution.

Boot process authenticity: Verify firmware authenticity before execution.

Secure boot: Provide a hardware-rooted secure boot process."
EDR 3.13(b),"Integrity of boot process: Verify firmware integrity before execution.

Boot process authenticity: Verify firmware authenticity before execution.

Secure boot: Provide a hardware-rooted secure boot process."
EDR 3.14,"Integrity of data at rest: Protect embedded storage from unauthorized modification.

Cryptographic integrity: Use cryptography to protect data at rest integrity."
EDR 3.14(1),"Integrity of data at rest: Protect embedded storage from unauthorized modification.

Cryptographic integrity: Use cryptography to protect data at rest integrity."
EDR 3.2,Protection from malicious code: Apply malware protection specifically to embedded resources.
HDR 2.13,"Host physical tamper detection: Capability to detect host chassis tampering.

Host tamper response: Audit and alert upon host physical breach."
HDR 2.13(1),"Host physical tamper detection: Capability to detect host chassis tampering.

Host tamper response: Audit and alert upon host physical breach."
HDR 2.4,"Host mobile code integrity: Verify integrity of mobile code on host.

Host mobile code authenticity: Verify authenticity of mobile code on host.

Host mobile code authorization: Enforce authorized execution on host.

Host mobile code security: Enforce security policies for host-based mobile code.

Sandboxing: Execute host mobile code in a restricted environment."
HDR 2.4(1),"Host mobile code integrity: Verify integrity of mobile code on host.

Host mobile code authenticity: Verify authenticity of mobile code on host.

Host mobile code authorization: Enforce authorized execution on host.

Host mobile code security: Enforce security policies for host-based mobile code.

Sandboxing: Execute host mobile code in a restricted environment."
HDR 2.4(a),"Host mobile code integrity: Verify integrity of mobile code on host.

Host mobile code authenticity: Verify authenticity of mobile code on host.

Host mobile code authorization: Enforce authorized execution on host.

Host mobile code security: Enforce security policies for host-based mobile code.

Sandboxing: Execute host mobile code in a restricted environment."
HDR 2.4(b),"Host mobile code integrity: Verify integrity of mobile code on host.

Host mobile code authenticity: Verify authenticity of mobile code on host.

Host mobile code authorization: Enforce authorized execution on host.

Host mobile code security: Enforce security policies for host-based mobile code.

Sandboxing: Execute host mobile code in a restricted environment."
HDR 2.4(c),"Host mobile code integrity: Verify integrity of mobile code on host.

Host mobile code authenticity: Verify authenticity of mobile code on host.

Host mobile code authorization: Enforce authorized execution on host.

Host mobile code security: Enforce security policies for host-based mobile code.

Sandboxing: Execute host mobile code in a restricted environment."
HDR 3.10,"Host update support: Capability to update host OS and applications.

Verified host updates: Verify authenticity/integrity of host updates."
HDR 3.10(1),"Host update support: Capability to update host OS and applications.

Verified host updates: Verify authenticity/integrity of host updates."
HDR 3.11,"Host integrity verification: Verify host hardware/software integrity.

Host hardware root of trust: Use hardware to anchor host integrity."
HDR 3.11(1),"Host integrity verification: Verify host hardware/software integrity.

Host hardware root of trust: Use hardware to anchor host integrity."
HDR 3.12,Host provisioning: Securely provision host unique identifiers.
HDR 3.13(a),"Host boot integrity: Verify integrity of the host OS bootloader.

Host boot authenticity: Verify authenticity of the host OS bootloader."
HDR 3.13(b),"Host boot integrity: Verify integrity of the host OS bootloader.

Host boot authenticity: Verify authenticity of the host OS bootloader."
HDR 3.14,"Host data at rest integrity: Protect host file system integrity.

Host storage encryption: Use cryptography for host data at rest."
HDR 3.14(1),"Host data at rest integrity: Protect host file system integrity.

Host storage encryption: Use cryptography for host data at rest."
HDR 3.2,"Host malware protection: Protection from malicious code for host devices.

Centralized management: Centrally manage host malware signatures."
HDR 3.2(1),"Host malware protection: Protection from malicious code for host devices.

Centralized management: Centrally manage host malware signatures."
NDR 1.13,"Untrusted network access: Control network traffic from untrusted zones.

Network access control (NAC): Implement NAC for untrusted devices."
NDR 1.13(1),"Untrusted network access: Control network traffic from untrusted zones.

Network access control (NAC): Implement NAC for untrusted devices."
NDR 1.6,"Network wireless access: Authenticate all users on network wireless ports.

Wireless intrusion detection: Detect unauthorized wireless access points."
NDR 1.6(1),"Network wireless access: Authenticate all users on network wireless ports.

Wireless intrusion detection: Detect unauthorized wireless access points."
NDR 2.13,"Network device tamper detection: Detect physical tampering of network hardware.

Network physical security: Prevent unauthorized physical port access.

Port lockdown: Disable unused physical network ports."
NDR 2.13(1),"Network device tamper detection: Detect physical tampering of network hardware.

Network physical security: Prevent unauthorized physical port access.

Port lockdown: Disable unused physical network ports."
NDR 2.4,"Network mobile code integrity: Verify integrity of mobile code in transit.

Network mobile code authenticity: Verify authenticity of mobile code in transit.

Network mobile code authorization: Block unauthorized mobile code at boundary.

Network mobile code policy: Enforce mobile code security via network devices.

Deep packet inspection: Inspect network traffic for unauthorized mobile code."
NDR 2.4(1),"Network mobile code integrity: Verify integrity of mobile code in transit.

Network mobile code authenticity: Verify authenticity of mobile code in transit.

Network mobile code authorization: Block unauthorized mobile code at boundary.

Network mobile code policy: Enforce mobile code security via network devices.

Deep packet inspection: Inspect network traffic for unauthorized mobile code."
NDR 2.4(a),"Network mobile code integrity: Verify integrity of mobile code in transit.

Network mobile code authenticity: Verify authenticity of mobile code in transit.

Network mobile code authorization: Block unauthorized mobile code at boundary.

Network mobile code policy: Enforce mobile code security via network devices.

Deep packet inspection: Inspect network traffic for unauthorized mobile code."
NDR 2.4(b),"Network mobile code integrity: Verify integrity of mobile code in transit.

Network mobile code authenticity: Verify authenticity of mobile code in transit.

Network mobile code authorization: Block unauthorized mobile code at boundary.

Network mobile code policy: Enforce mobile code security via network devices.

Deep packet inspection: Inspect network traffic for unauthorized mobile code."
NDR 2.4(c),"Network mobile code integrity: Verify integrity of mobile code in transit.

Network mobile code authenticity: Verify authenticity of mobile code in transit.

Network mobile code authorization: Block unauthorized mobile code at boundary.

Network mobile code policy: Enforce mobile code security via network devices.

Deep packet inspection: Inspect network traffic for unauthorized mobile code."
NDR 3.10,"Network device updates: Support secure updates for network device firmware.

Verified network updates: Cryptographically verify network firmware updates."
NDR 3.10(1),"Network device updates: Support secure updates for network device firmware.

Verified network updates: Cryptographically verify network firmware updates."
NDR 3.11,"Network device integrity: Verify integrity of network device configuration.

Hardware integrity (Network): Use hardware-based integrity for network assets."
NDR 3.11(1),"Network device integrity: Verify integrity of network device configuration.

Hardware integrity (Network): Use hardware-based integrity for network assets."
NDR 3.12,Network provisioning: Securely provision network device identities.
NDR 3.13(a),"Network boot integrity: Verify network device bootloader integrity.

Network boot authenticity: Verify network device bootloader authenticity."
NDR 3.13(b),"Network boot integrity: Verify network device bootloader integrity.

Network boot authenticity: Verify network device bootloader authenticity."
NDR 3.14,"Network data at rest: Protect sensitive data stored on network devices.

Network config encryption: Encrypt stored configuration files."
NDR 3.14(1),"Network data at rest: Protect sensitive data stored on network devices.

Network config encryption: Encrypt stored configuration files."
NDR 3.2,Network malware protection: Filter malicious code at network boundaries.
NDR 5.2,"Zone boundary protection: Control flow between different security zones.

Deny by default: Implement a ""deny all, permit by exception"" policy.

Stateful inspection: Use stateful traffic filtering at boundaries.

Fail close: Ensure boundary protection fails to a secure (closed) state."
NDR 5.2(1),"Zone boundary protection: Control flow between different security zones.

Deny by default: Implement a ""deny all, permit by exception"" policy.

Stateful inspection: Use stateful traffic filtering at boundaries.

Fail close: Ensure boundary protection fails to a secure (closed) state."
NDR 5.2(2),"Zone boundary protection: Control flow between different security zones.

Deny by default: Implement a ""deny all, permit by exception"" policy.

Stateful inspection: Use stateful traffic filtering at boundaries.

Fail close: Ensure boundary protection fails to a secure (closed) state."
NDR 5.2(3),"Zone boundary protection: Control flow between different security zones.

Deny by default: Implement a ""deny all, permit by exception"" policy.

Stateful inspection: Use stateful traffic filtering at boundaries.

Fail close: Ensure boundary protection fails to a secure (closed) state."
NDR 5.3,Network communication restriction: Block general purpose person-to-person traffic.
SAR 2.4,"App mobile code integrity: Verify integrity of app-level mobile code.

App mobile code authenticity: Verify authenticity of app-level mobile code.

App mobile code authorization: Enforce authorized execution for applications.

App mobile code policy: Enforce security policies within the software app.

Application sandboxing: Run application code in restricted containers."
SAR 2.4(1),"App mobile code integrity: Verify integrity of app-level mobile code.

App mobile code authenticity: Verify authenticity of app-level mobile code.

App mobile code authorization: Enforce authorized execution for applications.

App mobile code policy: Enforce security policies within the software app.

Application sandboxing: Run application code in restricted containers."
SAR 2.4(a),"App mobile code integrity: Verify integrity of app-level mobile code.

App mobile code authenticity: Verify authenticity of app-level mobile code.

App mobile code authorization: Enforce authorized execution for applications.

App mobile code policy: Enforce security policies within the software app.

Application sandboxing: Run application code in restricted containers."
SAR 2.4(b),"App mobile code integrity: Verify integrity of app-level mobile code.

App mobile code authenticity: Verify authenticity of app-level mobile code.

App mobile code authorization: Enforce authorized execution for applications.

App mobile code policy: Enforce security policies within the software app.

Application sandboxing: Run application code in restricted containers."
SAR 2.4(c),"App mobile code integrity: Verify integrity of app-level mobile code.

App mobile code authenticity: Verify authenticity of app-level mobile code.

App mobile code authorization: Enforce authorized execution for applications.

App mobile code policy: Enforce security policies within the software app.

Application sandboxing: Run application code in restricted containers."
SAR 3.2,Application malware protection: Use app-level scanning for malicious code.
CR 1.11(a),Sub-item (a) of CR 1.11 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.11 requirement in the standard.
CR 1.11(b),Sub-item (b) of CR 1.11 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.11 requirement in the standard.
CR 1.14(a),Sub-item (a) of CR 1.14 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.14 requirement in the standard.
CR 1.14(b),Sub-item (b) of CR 1.14 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.14 requirement in the standard.
CR 1.14(c),Sub-item (c) of CR 1.14 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.14 requirement in the standard.
CR 1.14(d),Sub-item (d) of CR 1.14 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.14 requirement in the standard.
CR 1.5(a),Sub-item (a) of CR 1.5 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.5 requirement in the standard.
CR 1.5(b),Sub-item (b) of CR 1.5 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.5 requirement in the standard.
CR 1.5(c),Sub-item (c) of CR 1.5 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.5 requirement in the standard.
CR 1.5(d),Sub-item (d) of CR 1.5 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.5 requirement in the standard.
CR 1.7(2),Requirement enhancement (2) of CR 1.7 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.7 requirement in the standard.
CR 1.9(a),Sub-item (a) of CR 1.9 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.9 requirement in the standard.
CR 1.9(b),Sub-item (b) of CR 1.9 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.9 requirement in the standard.
CR 1.9(c),Sub-item (c) of CR 1.9 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.9 requirement in the standard.
CR 1.9(d),Sub-item (d) of CR 1.9 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.9 requirement in the standard.
CR 1.9(e),Sub-item (e) of CR 1.9 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.9 requirement in the standard.
CR 1.9(f),Sub-item (f) of CR 1.9 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 1.9 requirement in the standard.
CR 2.10(a),Sub-item (a) of CR 2.10 in IEC 62443-4-2. The licensed standard text is not reproduced at this granularity; refer to the CR 2.10 requirement in the standard.
