Control ID,SCF ID,Description,Control Coverage,Response,
9.2(g),PRI-04.1,"processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(h),PRI-04.1,"processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(i),PRI-04.1,"processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.2(j),PRI-04.1,"processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
9.3,PRI-04.1,Personal data referred to in paragraph 1 may be processed for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
10,PRI-04.1,Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects. Any comprehensive register of criminal convictions shall be kept only under the control of official authority.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
12.1,CPL-01.3,"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.",Contributes,"VMware Cloud Foundation provides a robust compliance management engine that continuously monitors infrastructure against security benchmarks, flagging violations and offering remediation recommendations. Its components generate detailed logs of security-relevant events, including authentication attempts, configuration changes, and administrative actions, which are forwarded to external SIEM systems for centralized retention and long-term evidence preservation. VMware Live Recovery maintains comprehensive recovery plan history reports, detailing the results and timings of disaster recovery testing and execution, and supports event logging for protection group changes and operational activities, providing an auditable trail of DR-related administrative actions. VMware vDefend delivers auditable records of security policy configuration and enforcement, with features like Rule Analysis to verify alignment with documented security requirements and role-based access controls to support segregation of duties and evidence collection during compliance assessments. These capabilities collectively produce the technical artifacts and evidence necessary for an organization to demonstrate its underlying security and operational posture, which can indirectly support the broader compliance program.

The direct responsibility for defining the specific information to be provided to data subjects, ensuring its conciseness, transparency, intelligibility, and accessibility, and managing the communication channels (written, electronic, or oral) remains with the organization. The platforms do not automate or directly facilitate the generation or delivery of privacy notices, data subject access request responses, or breach notifications in the clear and plain language required by the control. These aspects necessitate organizational policies, human processes, and dedicated communication workflows.",
12.2,PRI-01,"The controller shall facilitate the exercise of data subject rights under Articles 15 to 22. In the cases referred to in Article 11(2), the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
12.3,PRI-06,"The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request. That period may be extended by two further months where necessary, taking into account the complexity and number of the requests. The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay. Where the data subject makes the request by electronic form means, the information shall be provided by electronic means where possible, unless otherwise requested by the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
12.4,PRI-06.4,"If the controller does not take action on the request of the data subject, the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
12.5(b),PRI-06,"Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge. Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either: refuse to act on the request.
The controller shall bear the burden of demonstrating the manifestly unfounded or excessive character of the request.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
12.6,PRI-06,"Without prejudice to Article 11, where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in Articles 15 to 21, the controller may request the provision of additional information necessary to confirm the identity of the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
12.7,PRI-02,"The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing. Where the icons are presented electronically they shall be machine-readable.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.1(a),PRI-02,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:

the identity and the contact details of the controller and, where applicable, of the controller’s representative;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.1(b),PRI-02,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:


the contact details of the data protection officer, where applicable;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.1(c),"PRI-02, PRI-02.1","Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:


the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.1(d),PRI-02,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:


where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.1(e),"PRI-02, PRI-05.7","Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:

the recipients or categories of recipients of the personal data, if any;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.2,PRI-02,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:
a. the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.2(a),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:
a. the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;
b. the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability;
c. where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;
d. the right to lodge a complaint with a supervisory authority;
e. whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data;
f. the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.2(b),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:

b. the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.2(c),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:

c. where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.2(d),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:

d. the right to lodge a complaint with a supervisory authority;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.2(e),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:

e. whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.2(f),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:

f. the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
13.3,PRI-02,"Where the controller intends to further process the personal data for a purpose other than that for which the personal data were collected, the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.1(a),PRI-02,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:
a. the identity and the contact details of the controller and, where applicable, of the controller’s representative;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.1(b),PRI-02,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:

b. the contact details of the data protection officer, where applicable;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.1(c),"PRI-02, PRI-02.1","Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:

c. the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.1(d),"PRI-02, PRI-05.7","Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:

d. the categories of personal data concerned;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.1(e),PRI-02,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:

e. the recipients or categories of recipients of the personal data, if any;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.1(f),PRI-02,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:

f. where applicable, that the controller intends to transfer personal data to a recipient in a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means to obtain a copy of them or where they have been made available.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2,PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:
a. the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;
b. where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party;
c. the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability;
d. where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;
e. the right to lodge a complaint with a supervisory authority;
f. from which source the personal data originate, and if applicable, whether it came from publicly accessible sources;
g. the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2(a),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:
a. the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2(b),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:

b. where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2(c),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:

c. the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2(d),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:

d. where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2(e),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:

e. the right to lodge a complaint with a supervisory authority;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2(f),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:

f. from which source the personal data originate, and if applicable, whether it came from publicly accessible sources;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.2(g),PRI-02,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:

g. the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.3(a),PRI-02,"The controller shall provide the information referred to in paragraphs 1 and 2:
a. within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.3(b),PRI-02,"The controller shall provide the information referred to in paragraphs 1 and 2:

b. if the personal data are to be used for communication with the data subject, at the latest at the time of the first communication to that data subject; or
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.3(c),PRI-02,"The controller shall provide the information referred to in paragraphs 1 and 2:

c. if a disclosure to another recipient is envisaged, at the latest when the personal data are first disclosed.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.4,PRI-02,"Where the controller intends to further process the personal data for a purpose other than that for which the personal data were obtained, the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
14.5(a),PRI-02,"Paragraphs 1 to 4 shall not apply where and insofar as:
a. the data subject already has the information;",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1,PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:
a. the purposes of the processing;
b. the categories of personal data concerned;
c. the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;
d. where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;
e. the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing;
f. the right to lodge a complaint with a supervisory authority;
g. where the personal data are not collected from the data subject, any available information as to their source;
f. the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1(a),PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:
a. the purposes of the processing;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1(b),PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:

b. the categories of personal data concerned;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1(c),PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:

c. the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1(d),PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:

d. where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1(e),PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:

e. the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1(g),PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:

g. where the personal data are not collected from the data subject, any available information as to their source;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.1(h),PRI-06,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:

h. the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.2,PRI-06,"Where personal data are transferred to a third country or to an international organisation, the data subject shall have the right to be informed of the appropriate safeguards pursuant to Article 46 relating to the transfer.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.3,PRI-06,"The controller shall provide a copy of the personal data undergoing processing. For any further copies requested by the data subject, the controller may charge a reasonable fee based on administrative costs. Where the data subject makes the request by electronic means, and unless otherwise requested by the data subject, the information shall be provided in a commonly used electronic form.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
15.4,PRI-06,The right to obtain a copy referred to in paragraph 3 shall not adversely affect the rights and freedoms of others.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
16,PRI-06,"The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
