ID,Category,Component,Component Display,Username / Identity,UID,Type,Tier,Purpose,Security Methods,Integrity Checks,Privileged Modifier Accounts,Privileged Modifier Controls,Access Methods,Authentication Mechanisms,Operations,Objects Controlled,Privilege Notes,Auth Log Path,Auth Log Signatures,Credential Modification Log Path,Anomaly Detection Method,SIEM auditID Filter Set,Vault-Integrated
GLCM-SAL-INV-006,Account,glcm-salt,GLCM / SaltStack / MOPS,depot-service,N/A,Application,2,Used by Depot service to connect to eapi.broadcom.com/vcf/generateToken,Credential stored in: Helm values / Secret,,,,Accessed by: Depot service,Helm values / Secret,OAuth bearer token for depot downloads,Connects to: eapi.broadcom.com/vcf/generateToken,,Component-specific application log,,,Monitor application logs for authentication failures and unauthorized access.,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,No (platform-managed)
GLCM-SAL-INV-007,Account,glcm-salt,GLCM / SaltStack / MOPS,vxrail-sso-client,N/A,Application,2,Used by VxRail Depot Downloader to connect to sso.emc.com/sso/login.htm?CTAuthMode=BASIC,Credential stored in: Spring @Value from application config,,,,Accessed by: VxRail Depot Downloader,Spring @Value from application config,VxRail legacy bundle access,Connects to: sso.emc.com/sso/login.htm?CTAuthMode=BASIC,,Component-specific application log,,,Monitor application logs for authentication failures and unauthorized access.,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,No (platform-managed)
GLCM-SAL-INV-008,Account,sddc-manager,GLCM / SaltStack / MOPS,sddc-manager-ui-session,N/A,Application,2,Used by SDDC Manager UI BFF server to connect to vCenter SAML via vsphere.local SSO,Static session secret compiled into the SDDC Manager UI backend configuration. Not rotatable by the customer and not managed by fleet password management.,,,,Accessed by: SDDC Manager UI BFF server,Static shared secret.,Session-level auth after vSphere SSO,Connects to: vCenter SAML via vsphere.local SSO,,Component-specific application log,,,Monitor application logs for authentication failures and unauthorized access.,account.login; account.login.failed; account.locked; account.changepassword; credential.update; passwordpolicy.update,No (platform-managed)
GLCM-SAL-INV-009,Account,sddc-manager,GLCM / SaltStack / MOPS,sddc-manager-db-user,N/A,Application,2,Used by SDDC Manager UI BFF server to connect to Local PostgreSQL,Static credential compiled into the SDDC Manager UI backend configuration. Not rotatable by the customer and not managed by fleet password management.,,,,Accessed by: SDDC Manager UI BFF server,Username and password against the local PostgreSQL instance.,DB read/write for UI session/state,Connects to: Local PostgreSQL,,Component-specific application log,,,Monitor application logs for authentication failures and unauthorized access.,account.login; account.login.failed; account.locked; account.changepassword; credential.update; passwordpolicy.update,No (platform-managed)
GLCM-SEC-001,Object,glcm-salt,GLCM / SaltStack / MOPS,glcm-sos-truststore,N/A,Trust store,,Used by glcm-sos diagnostics framework to connect to Local trust store,"Java trust store protected by the shipped default password, unchanged from the JDK default. Not rotatable by the customer and not managed by fleet password management.",,,,Accessed by: glcm-sos diagnostics framework,Trust store password.,TLS certificate validation,Connects to: Local trust store,,Component-specific application log,,,Monitor application logs for authentication failures and unauthorized access.,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,Not applicable
GLCM-SAL-INV-010,Account,esxi,GLCM / SaltStack / MOPS,esxi-service-accounts,N/A,InterComponent,2,Used by SDDC Manager host manager to connect to ESXi hosts (SSH/vSphere API),Credential stored in: vCenter credential store,,,,Accessed by: SDDC Manager host manager,vCenter credential store,Host lifecycle management (commission/decommission),Connects to: ESXi hosts (SSH/vSphere API),,,,,,ssh.connect; ssh.session.begin; ssh.session.end; dcui.login; dcui.logout; vim.connect; vim.disconnect; service.access.denied; mfa.enable; mfa.disable; account.changepassword; account.create; account.locked; authentication.login; authentication.logout,No (platform-managed)
GLCM-SAL-INV-011,Account,vcenter,GLCM / SaltStack / MOPS,vcenter-service-account,N/A,InterComponent,2,Used by LCM precheck agent to connect to vCenter Server API,Credential stored in: vCenter credential store,,,,Accessed by: LCM precheck agent,vCenter credential store,LCM precheck operations (upgrade readiness),Connects to: vCenter Server API,,,,,,authentication.login; authentication.logout; account.create; account.delete; account.edit; account.locked; account.changepassword; passwordpolicy.update,No (platform-managed)
GLCM-SAL-INV-012,Account,vcf-ops,GLCM / SaltStack / MOPS,vcf-ops-logs-sa,N/A,K8s-ServiceAccount,3,Used by ops-logs StatefulSet to connect to K8s API (pods: get/list),Credential stored in: K8s RBAC,,,,Accessed by: ops-logs StatefulSet,K8s RBAC,"Role: pod-reader-, pods: get; list (namespace-scoped)",Connects to: K8s API (pods: get/list),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,authentication.login; authentication.logout; authentication.impersonate; user.create; user.update; user.delete; user.enable; user.disable; user_password.change; credential.create; credential.update; credential.delete; vcf_password_management.update_password; vcf_password_management.remediate_password; vcf_role_assignment.create; vcf_role_assignment.delete; role.create; role.update; role.delete; sso.create; sso.update; sso.delete; password_policy.update,No (container-native)
GLCM-SAL-INV-013,Account,vcf-ops,GLCM / SaltStack / MOPS,opslogs-client,N/A,K8s-ServiceAccount,3,Used by ops-logs gateway to connect to VMSP identity federation,Credential stored in: VMSP token store,,,,Accessed by: ops-logs gateway,VMSP token store,clientName: opslogs-client; accessTokenTTL: 14400 (4 h),Connects to: VMSP identity federation,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,authentication.login; authentication.logout; authentication.impersonate; user.create; user.update; user.delete; user.enable; user.disable; user_password.change; credential.create; credential.update; credential.delete; vcf_password_management.update_password; vcf_password_management.remediate_password; vcf_role_assignment.create; vcf_role_assignment.delete; role.create; role.update; role.delete; sso.create; sso.update; sso.delete; password_policy.update,No (container-native)
GLCM-SAL-INV-014,Account,glcm-salt,GLCM / SaltStack / MOPS,component-manager,N/A,K8s-ServiceAccount,3,Used by ops-logs backup/restore Argo workflows to connect to K8s API (workflow management),Credential stored in: K8s RBAC,,,,Accessed by: ops-logs backup/restore Argo workflows,K8s RBAC,Provided by platform (component-manager role),Connects to: K8s API (workflow management),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-015,Account,glcm-salt,GLCM / SaltStack / MOPS,component-argo-workflow,N/A,K8s-ServiceAccount,3,Used by ops-logs upgrade pre-check Argo workflow to connect to Argo Workflow engine,Credential stored in: K8s RBAC,,,,Accessed by: ops-logs upgrade pre-check Argo workflow,K8s RBAC,Provided by platform,Connects to: Argo Workflow engine,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-016,Account,vcf-ops,GLCM / SaltStack / MOPS,log-store-sa,N/A,K8s-ServiceAccount,3,Used by ops-logs log store to connect to Log storage backend,Credential stored in: K8s RBAC,,,,Accessed by: ops-logs log store,K8s RBAC,Value from Helm; permissions TBD,Connects to: Log storage backend,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,authentication.login; authentication.logout; authentication.impersonate; user.create; user.update; user.delete; user.enable; user.disable; user_password.change; credential.create; credential.update; credential.delete; vcf_password_management.update_password; vcf_password_management.remediate_password; vcf_role_assignment.create; vcf_role_assignment.delete; role.create; role.update; role.delete; sso.create; sso.update; sso.delete; password_policy.update,No (container-native)
GLCM-SAL-INV-017,Account,glcm-salt,GLCM / SaltStack / MOPS,lcc-service-account,N/A,K8s-ServiceAccount,3,Used by Lifecycle Controller (LCC) to connect to K8s API server,Credential stored in: K8s RBAC,,,,Accessed by: Lifecycle Controller (LCC),K8s RBAC,ClusterRole: nodes: list; endpoints: get; pods: delete; pods/exec: create; secrets: get/list/create/delete/update; configmaps: update/patch/create/delete; deployments: get/update/patch/delete/create; replicasets: list; ingresses: get/update/patch/delete/create; services: update/delete/create; jobs: get/list/delete/create; customresourcedefinitions: get/list/watch; vaconfigs: get/list/watch/patch/update,Connects to: K8s API server,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-018,Account,glcm-salt,GLCM / SaltStack / MOPS,coredns,N/A,K8s-ServiceAccount,3,Used by CoreDNS daemonset to connect to K8s API (DNS config),Credential stored in: K8s RBAC,,,,Accessed by: CoreDNS daemonset,K8s RBAC,ClusterRole: standard CoreDNS permissions (endpoints; services; pods read; configmaps get),Connects to: K8s API (DNS config),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-019,Account,glcm-salt,GLCM / SaltStack / MOPS,contour,N/A,K8s-ServiceAccount,3,Used by Contour ingress controller to connect to K8s API (ingress/route objects),Credential stored in: K8s RBAC,,,,Accessed by: Contour ingress controller,K8s RBAC,ClusterRole: configmaps create/get/update; endpoints/namespaces/services/pods get/list/watch; ingress/route objects management,Connects to: K8s API (ingress/route objects),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-020,Account,glcm-salt,GLCM / SaltStack / MOPS,envoy,N/A,K8s-ServiceAccount,3,Used by Envoy DaemonSet/Deployment to connect to Contour xDS API,Credential stored in: K8s RBAC,,,,Accessed by: Envoy DaemonSet/Deployment,K8s RBAC,ClusterRole bound from Contour certgen RBAC,Connects to: Contour xDS API,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-021,Account,glcm-salt,GLCM / SaltStack / MOPS,contour-certgen,N/A,K8s-ServiceAccount,3,Used by Contour cert generation job to connect to K8s API (secrets: create/get/update/delete for TLS certs),Credential stored in: K8s RBAC,,,,Accessed by: Contour cert generation job,K8s RBAC,Namespace-scoped secrets management,Connects to: K8s API (secrets: create/get/update/delete for TLS certs),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SAL-INV-022,Account,glcm-salt,GLCM / SaltStack / MOPS,lcc-service-account,N/A,K8s-ServiceAccount,3,Used by CRD management tooling to connect to K8s API (CRD management),Credential stored in: K8s RBAC,,,,Accessed by: CRD management tooling,K8s RBAC,See SA-07; same ClusterRole reused,Connects to: K8s API (CRD management),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
GLCM-SEC-003,Object,vcf-automation,GLCM / SaltStack / MOPS,Telemetry ConfigMap identity,N/A,Kubernetes ConfigMap,,Used by vRO CEIP/telemetry subsystem to connect to Telemetry endpoint (telemetry-config ConfigMap),Credential stored in: K8s ConfigMap,,,,Accessed by: vRO CEIP/telemetry subsystem,K8s ConfigMap,Read-only access to ConfigMap value,Connects to: Telemetry endpoint (telemetry-config ConfigMap),,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",Not applicable
