Control ID,Description,Bridging SCF Controls,Relevant SCG Controls
2.6,Operator Session Confidentiality and Integrity,"CRY-01, CRY-03, CRY-04","automation-9.oidc-settings, esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, esx-9.log-forwarding-tls-ciphers, esx-9.nfs-traffic-protection, esx-9.tls-ciphers, esx-9.vmk-storage, esx-9.vmk-vmotion, esx-9.vmotion-encryption-offload, nsx-9.bgp-encryption, nsx-9.load-balancer-fips, nsx-9.ospf-encryption, nsx-9.tls-ciphers, operations-9.logs-ssl-api, operations-9.logs-ssl-syslog, vcenter-9.smtp, vcenter-9.snmp3, vcenter-9.tls-ciphers, vm-9.ft-encrypted, vm-9.vmotion-encrypted, vsan-9.encryption-transit-esa, vsan-9.encryption-transit-osa, vsan-9.file-services-authentication-smb, vsan-9.storage-cluster-traffic-protection"
2.7,Vulnerability Scanning,VPM-04,esx-9.supported
2.8,Critical Activity Outsourcing: Ensure the protection of the local SWIFT infrastructure from risks exposed by the outsourcing of critical activities.,"TPM-03, TPM-04",vcenter-9.administration-client-plugins
2.10,Application Hardening,"CFG-02, CFG-02.7, CFG-03, IAC-20, IAC-21","automation-9.activity-log, esx-9.ad-admin-group-autoadd, esx-9.ceip-disable, esx-9.deactivate-mob, esx-9.deactivate-shell, esx-9.forensic-snapshots, esx-9.hardware-management-security, esx-9.hardware-ports, esx-9.hardware-virtual-nic, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, esx-9.network-dvfilter, esx-9.snmp, esx-9.ssh, fleet-9.all-users-group, guest-9.tools-deactivate-appinfo, guest-9.tools-deactivate-containerinfo, guest-9.tools-deactivate-guestoperations, guest-9.tools-deactivate-gueststoreupgrade, guest-9.tools-deactivate-servicediscovery, installer-9.security, nsx-9.ceip-disable, nsx-9.dhcp-disable, nsx-9.multicast-disable, nsx-9.snmp, nsx-9.ssh, nsx-9.t1-dhcp-disable, nsx-9.t1-multicast-disable, operations-9.ceip-disable, operations-9.in-page-feedback, operations-9.non-imported-vidm, pnr-9.ssh, vcenter-9.ceip-disable, vcenter-9.client-feedback, vcenter-9.client-telemetry, vcenter-9.network-restrict-discovery-protocol, vcenter-9.snmp, vcenter-9.ssh, vcenter-9.vds-health-check-disable, vcf-9.permissions-roles, vcf-9.secure-baseline, vm-9.deactivate-console-copy, vm-9.deactivate-console-paste, vm-9.deactivate-disk-shrinking-shrink, vm-9.deactivate-disk-shrinking-wiper, vm-9.deactivate-non-essential-3d-features, vm-9.dvfilter, vm-9.efi-boot-types, vm-9.isolation-device-connectable-deactivate, vm-9.isolation-tools-dnd-deactivate, vm-9.pci-passthrough, vm-9.persistent-disk, vm-9.remove-unnecessary-devices, vm-9.restrict-host-info, vsan-9.hcl-internet"
4.1,Password Policy,"CFG-02, IAC-10, IAC-10.1","automation-9.oidc-settings, automation-9.timeouts, esx-9.account-password-history, esx-9.password-complexity, esx-9.password-max-age, fleet-9.access-token, fleet-9.api-token, fleet-9.password-policy, nsx-9.password-complexity, operations-9.password-complexity, sddc-9.basic-auth-disable, vcenter-9.password-complexity, vcenter-9.password-history, vcenter-9.password-max-age, vcenter-9.vami-password-max-age, vcenter-9.vpxuser-length, vcf-9.secure-baseline"
5.1,"Logical Access Control: Enforce the security principles of need-to-know access, least privilege, and separation of duties for operator accounts.","IAC-20, IAC-21","esx-9.ad-admin-group-autoadd, esx-9.lockdown-dcui-access, esx-9.lockdown-exception-users, esx-9.lockdown-mode, fleet-9.all-users-group, operations-9.non-imported-vidm, vcf-9.permissions-roles, vm-9.isolation-device-connectable-deactivate, vm-9.pci-passthrough"
5.2,Token Management,"CFG-02, CRY-01","esx-9.entropy, esx-9.hardware-cpu-amd-cc, esx-9.hardware-cpu-intel-cc, nsx-9.load-balancer-fips, vcenter-9.snmp3, vcf-9.secure-baseline"
5.4,Physical and Logical Password Storage,IAC-10,"automation-9.oidc-settings, automation-9.timeouts, fleet-9.access-token, fleet-9.api-token, sddc-9.basic-auth-disable"
6.1,Malware Protection,"MON-02, MON-02.2","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
6.2,Software Integrity,"MON-02, MON-02.2","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
6.3,Database Integrity,"MON-02, MON-02.2","esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-forwarding, guest-9.tools-log-forwarding, operations-9.log-collection, pnr-9.log-forwarding, vcenter-9.log-forwarding"
6.4,Logging and Monitoring,"MON-02, MON-02.2, MON-08, MON-10","automation-9.activity-log, esx-9.hardware-management-log-forwarding, esx-9.log-audit-forwarding, esx-9.log-audit-local-capacity, esx-9.log-audit-persistent, esx-9.log-filter, esx-9.log-forwarding, esx-9.log-persistent, guest-9.tools-log-forwarding, operations-9.action-history-retention, operations-9.log-collection, operations-9.log-retention, operations-9.logs-authenticated-ingestion, pnr-9.log-forwarding, vcenter-9.events-database-retention, vcenter-9.log-forwarding, vm-9.log-retention"
