SCG ID,"Secure Controls
Framework ID",DISA STIG ID,PCI DSS 4.0.1 ID,"Component
Name",Component Version,Feature/Function,Description/Title,Discussion,Potential Functional Impact if Default Value is Changed,"Implementation
Priority",Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,PowerCLI Command Assessment,PowerCLI Command Remediation
esx-9.deactivate-shell,CFG-03,VCFE-9X-000199,2.2.4,ESX,9.0.0,Base,The ESX shell should be deactivated.,Services which are not in use and are not essential for operations should be deactivated.,None.,P2,N/A,"Stopped,
Start and stop manually","Stopped,
Start and stop manually",YES,Audit,ESX Services Configuration,"Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESX | where {$_.Key -eq 'TSM'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESX | where {$_.Key -eq 'TSM'} | Stop-VMHostService"
esx-9.disable-accounts-dcui,IAC-15.7,VCFE-9X-000237,2.2.4,ESX,9.0.0,Base,VMware ESX must have the dcui account disabled.,"Disabling expired, inactive, unused, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system.

ESX ships with a 'dcui' account used for privilege separation whose shell access should be restricted.",None.,P0,N/A,Enabled,Disabled,NO,Modify,esxcli,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.account.list.Invoke() | Where-Object { $_.UserID -eq 'dcui' } | Select-Object -ExpandProperty Shellaccess","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.account.set.CreateArgs()
$arguments.id = ""dcui""
$arguments.shellaccess = ""false""
$ESXcli.system.account.set.Invoke($arguments)"
esx-9.entropy,CRY-01,VCFE-9X-000234,"2.2.7
3.3.2
3.3.3
8.3.2",ESX,9.0.0,Base,The ESX host must use sufficient entropy for cryptographic operations.,"Starting in vSphere 8.0, the ESX Entropy implementation supports the FIPS 140-3 and EAL4 certifications. Kernel boot options control which entropy sources to activate on an ESX host.",None.,P2,N/A,"disableHwrng = FALSE
entropySources = 0","disableHwrng = FALSE
entropySources = 0",YES,Audit,ESX Shell,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.settings.kernel.list.Invoke() | Where {$_.Name -eq ""disableHwrng"" -or $_.Name -eq ""entropySources""}","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.settings.kernel.set.CreateArgs()
$arguments.setting = ""disableHwrng""
$arguments.value = ""FALSE""
$ESXcli.system.settings.kernel.set.invoke($arguments)
$arguments.setting = ""entropySources""
$arguments.value = ""0""
$ESXcli.system.settings.kernel.set.invoke($arguments)"
esx-9.etc-issue,SEA-18,"VCFE-9X-000196
VCFE-9X-000197",2.2.6,ESX,9.0.0,Base,Configure the login banner for ESX host SSH connections.,"ESX enables a login message display, often used to deter intruders and inform authorized users about system use obligations. This parameter defines the text shown during an SSH connection. It is highly recommended to keep SSH in the stopped state unless troubleshooting.

An implementation inconsistency between ESX and vCenter Server requires that ""issue"" in Config.Etc.issue be lowercase, to work in both scenarios.",None.,P1,Config.Etc.issue,Undefined,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Config.Etc.issue,"Get-VMHost -Name $ESX | Get-AdvancedSetting Config.Etc.issue | Set-AdvancedSetting -Value ""****************************************************************************`n* Authorized users only. Actual or attempted unauthorized use of this      *`n* system is prohibited and may result in criminal, civil, security, or     *`n* administrative proceedings and/or penalties. Use of this information     *`n* system indicates consent to monitoring and recording, without notice     *`n* or permission. Users have no expectation of privacy. Any information     *`n* stored on or transiting this system, or obtained by monitoring and/or    *`n* recording, may be disclosed to law enforcement and/or used in accordance *`n* with Federal law, State statute, and organization policy. If you are not *`n* an authorized user of this system, exit the system at this time.         *`n****************************************************************************`n"""
esx-9.firewall-incoming-default,NET-04.1,VCFE-9X-000216,"1.4.1
1.4.2",ESX,9.0.0,Base,The ESX host must configure the firewall to block network traffic by default.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and preventing unauthorized access to the host.",None.,P2,N/A,Enabled,Enabled,YES,Audit,esxcli,Get-VMHost -Name $ESX | Get-VMHostFirewallDefaultPolicy,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.defaultaction = $FALSE
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)"
esx-9.firewall-restrict-access,NET-04.1,VCFE-9X-000217,"1.4.1
1.4.2",ESX,9.0.0,Base,Configure the ESX host firewall to only allow traffic from authorized networks.,"Ensures that all incoming and outgoing network traffic is blocked unless explicitly allowed, reducing the attack surface and helping to prevent unauthorized access to the host.

As of vSphere 8.0.2, firewall rules are categorized as 'user' or 'system' owned, where only 'user' owned rules are configurable. Beginning in vSphere 8 Update 2b and PowerCLI 13.2.1 there are additional queryable parameters to automate setting and checking for configurable rules.","Firewall is simplistic, akin to router ACLs, and may need reflexive rules configured.",P1,N/A,Connections allowed from any IP address,Connections allowed only from authorized infrastructure and administration workstations,NO,Modify,ESX Firewall Configuration,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$list = $ESXcli.network.firewall.ruleset.list.Invoke() | Where {($_.AllowedIPconfigurable -eq $true) -and ($_.EnableDisableconfigurable -eq $true)} | Select -ExpandProperty Name

$arguments = $ESXcli.network.firewall.ruleset.allowedip.list.CreateArgs()
foreach ($rule in $list) {
    $arguments.rulesetid = $rule
    $ESXcli.network.firewall.ruleset.allowedip.list.Invoke($arguments) 
}","# This is an example which you will want to customize!
$ESXcli = Get-EsxCli -VMHost $ESX -V2
# Deactivate firewall temporarily so we don't lose connectivity
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $false
$ESXcli.network.firewall.set.Invoke($arguments)

# Unset the ""allow all"" flag
$arguments = $ESXcli.network.firewall.ruleset.set.CreateArgs()
$arguments.allowedall = $false
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.set.Invoke($arguments)

# Add an IP range
$arguments = $ESXcli.network.firewall.ruleset.allowedip.add.CreateArgs()
$arguments.ipaddress = ""192.168.0.0/16""
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.allowedip.add.Invoke($arguments)

# Enable the firewall
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)"
esx-9.hardware-boot,"END-06.5
MON-04",N/A,2.2.6,ESX,9.0.0,Hardware,"The environment must use adequately sized persistent, non-SD, non-USB devices for ESX boot volumes.","Flash memory is a component that wears out over time, with each data write shortening its lifespan. SSDs and NVMe devices have built-in features to reduce this wear, making them more reliable. However, SD cards and most USB flash drives don't have these features and can develop reliability issues, like bad sectors, often without any obvious signs.

To lessen wear and make SD and USB devices last longer, ESX, when installed on these devices, saves audit and system logs to a RAM disk instead of constantly writing to the device. This means a virtual infrastructure administrator needs to set up new, long-term storage spots for these logs and change the log output to go to these new places.

Choosing a reliable boot device removes these extra steps and helps ESX automatically pass security audits.",None.,P0,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-cpu-amd-cc,"SEA-10
CRY-01
END-06.6",N/A,5.2.3,ESX,9.0.0,Hardware,"Ensure that AMD SEV-ES and/or SEV-SNP is enabled, if available in the system firmware, and is configured for a reasonable number of protected VMs (Minimum SEV non-ES ASID).","AMD EPYC platforms support SEV-ES and SEV-SNP, technology to encrypt memory and CPU register state and attest workloads in order to increase workload security and decrease exposure to certain types of attacks. When configured properly, VCF supprots the use of these technologies inside guest virtual machines and containers. Enabling them in system firmware eases future enablement inside virtual machines, containers, and guest OSes.","Use of SEV-ES/SEV-SNP in a particular VM requires the guest OS to support it, and will limit some operational features such as vMotion, snapshots, and so on. Consult the documentation for more information about these tradeoffs.",P1,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-cpu-intel-cc,"SEA-10
CRY-01
END-06.6",N/A,5.2.3,ESX,9.0.0,Hardware,"Ensure that Intel SGX and/or TDX is enabled, if available in the system firmware.","Intel Xeon Scalable Processor platforms have SGX and TDX, technologies that help applications protect data in system memory. When configured properly, VCF supports the use of SGX inside guest virtual machines. Enabling them in system firmware eases future enablement inside virtual machines and guest OSes.","Use of SGX/TDX requires guest OS support, and will limit some operational features, such as vMotion, snapshots, fault tolerance, and suspend/resume.",P1,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-cpu-intel-txt,"END-06.5
END-06.6
END-06.1
TDA-14.1",N/A,5.2.3,ESX,9.0.0,Hardware,"Ensure that Intel TXT is enabled, if available in the system firmware.","Intel Xeon Scalable Processor platforms have Trusted Execution Technology, or TXT, that help harden systems against malware, rootkits, BIOS & firmware attacks, and more. When enabled, ESX will take advantage of security benefits offered by this technology.","There have been some situations in early implementations where operations like firmware updates and sudden system shutdowns trigger attestation alarms in vCenter Server, or even failures while booting. In these cases a cold system restart resolves the problem temporarily, while an update to system firmware usually resolves it permanently. See KB 78243.",P0,N/A,N/A,N/A,N/A,Audit,Hardware,(Get-VMHost -Name $ESX | Get-View).Capability.TxtEnabled,N/A
esx-9.hardware-firmware-updates,"VPM-05
VPM-05.8
TDA-14.1
VPM-04",N/A,6.3.3,ESX,9.0.0,Hardware,"Ensure that all system & device firmware is auditable, authentic, and up to date.","Hardware firmware is not immune to serious issues affecting confidentiality, integrity, or availability. Vulnerable system management controllers & management engines can provide places for attackers to establish persistence, in order to re-infect and re-compromise hosts after reboots and updates.

Ensure that the latest firmware updates are applied to all components of your systems and that the firmware is authentic and supplied by your hardware manufacturer.",If you are a vSAN customer please ensure that storage device & controller firmware versions are certified.,P0,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-management-authentication,"MNT-05
NET-06.4",N/A,8.2.7,ESX,9.0.0,Hardware,Ensure integrated hardware management controllers use of Active Directory does not create a dependency loop nor an attack vector.,"Connections to centralized authentication sources, like Active Directory, should be disabled or carefully considered as attack vectors and dependency loops (for authentication, authorization, DNS, DHCP, and time). Consider managing local accounts on these devices through the APIs and CLI interfaces provided. If Active Directory must be used for authentication do authorization locally so that an attacker with access to Active Directory cannot promote themselves through group membership.",Not connecting hardware management controllers to centralized authentication & authorization sources entails additional management. Most hardware management controllers have CLI toolkits or APIs to automate management of user accounts and/or authorization levels.,P0,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-management-log-forwarding,"MON-02
MON-02.2
",VCFA-9X-000141,"10.2.1
10.3.3",ESX,9.0.0,Hardware,Component must securely forward system and audit logs to a remote log collection point.,"By gathering host log files onto a central host, you can more easily monitor all hosts using a single tool. Additionally, you can perform aggregate analysis and searching to identify coordinated attacks on multiple hosts. Logging to a secure and centralized log server helps prevent log tampering and ensures a unified, long-term audit record.",None.,P0,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-management-security,"CFG-03
IAC-10.8
AST-02.2
DCH-12",N/A,2.2.4,ESX,9.0.0,Hardware,Ensure that integrated hardware management controllers are fully secured.,"Many servers have integrated hardware management controllers that can be extremely helpful when monitoring and updating hardware, settings, and firmware. These controllers should be checked to ensure that ALL unused functionality is disabled, ALL unused access methods are disabled, passwords and password controls are set, and firewalling and access control is in place so that the only access is from authorized access workstations for the virtualization administration team.

All ""first boot"" configuration options should be disabled, especially ones that reconfigure the system from USB devices or NFC/wireless/""zero touch"" devices. Disable or protect USB ports attached to the management controllers. Where possible, USB ports should be set to only permit keyboards.

Default passwords for accounts should be changed.

External information displays should be secured to prevent information leakage. Power and information buttons should be secured against unauthorized use.

Many hardware management controllers provide mechanisms for alerting when hardware faults & configuration changes occur. You should consider those if you are not using another method for hardware monitoring.","Disablement of connection methods may mean that future monitoring and management efforts require changes to the hardware management controller configurations across your fleet of servers.

Most hardware management controllers have CLI and API management methods that can be scripted and used from a management workstation, in lieu of additional management software or applications. Learning these techniques saves time, avoids the additional effort of installing and maintaining additional tools, and allows for timely changes to configurations.",P0,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-management-time,"MON-07.1
SEA-20",N/A,"10.6.1
10.6.2",ESX,9.0.0,Hardware,Ensure that integrated hardware management controllers have their time synchronized.,"Cryptography, audit logging, cluster operations, and incident response/forensics depend deeply on synchronized time. This recommendation extends to all devices in infrastructure. The recommendation for NTP is to have at least four sources. Do not have two sources (one source is preferable to two).",None.,P0,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-ports,"CFG-03
END-12",N/A,2.2.4,ESX,9.0.0,Hardware,Ensure that unused external ports are disabled or protected against unauthorized use.,"Unused ports, especially USB, can be used by attackers to attach storage, networking, and keyboards. Take reasonable steps to control access to these ports through disablement, access control, and/or with other means such as solid rack doors, rack side panels, and flooring that makes the ports inaccessible from outside the rack when the rack door is closed. Cables fit easily through many gaps in and around racks and rack doors, and stiff wires can be used to push them into sockets from outside the rack, as well as to dislodge cables to create a service disruption.

Where possible, USB ports should also be set to only permit keyboards.

When disabling functionality like this please consider that you may need to access the server using a USB keyboard during an outage or as part of lifecycle operations, and plan accordingly.","Security is always a tradeoff, and ease of recovery from an outage or incident should always be part of the equation when considering a security control like this. In this case, disablement of external ports will affect the ability to use the ESX console in case of emergency.

Some servers have the ability to dynamically disable and enable certain USB ports for management. Ensure that whatever you choose meets your organization's needs, and that you have tested these methods before an incident.",P1,N/A,N/A,N/A,N/A,Audit,Hardware,N/A,N/A
esx-9.hardware-secureboot,END-04.6,VCFE-9X-000091,5.2.3,ESX,9.0.0,Hardware,Ensure that UEFI Secure Boot is enabled.,Enabling UEFI Secure Boot on the ESX host's hardware helps prevent malware and untrusted configurations.,"Improvements in ESX have made enabling this easy, and you should be able to simply enable it in the system firmware and have ESX boot normally. However, you should test the change and roll it out in a controlled manner to avoid issues.",P0,N/A,N/A,N/A,N/A,Audit,Hardware,(Get-VMHost -Name $ESX | Get-View).Capability.UefiSecureBoot,N/A
esx-9.hardware-tpm,"END-04.6
IAC-12.1",N/A,5.2.3,ESX,9.0.0,Hardware,Ensure that a TPM 2.0 is installed and enabled on the host.,"ESX can use Trusted Platform Modules (TPM) 2.0 to enable advanced security features that prevent malware, remove dependencies, and secure hardware lifecycle operations. We strongly recommend all servers be configured with a TPM 2.0 and the TPM be enabled in the system firmware. ",None.,P0,N/A,N/A,"TPM 2.0 installed, enabled.
SHA-256 hashing, TIS/FIFO interface",N/A,Audit,Hardware,"(Get-VMHost -Name $ESX | Get-View).Capability.TpmSupported
(Get-VMHost -Name $ESX | Get-View).Capability.TpmVersion",N/A
esx-9.hardware-virtual-nic,"NET-04.1
CFG-03",VCFE-9X-000238,"1.3.1
1.4.1
1.4.2
1.4.4",ESX,9.0.0,Base,The ESX host must not enable virtual hardware management network interfaces.,Hardware management controllers often present virtual or USB NICs to the ESX host. These can be used as backdoors and should be deactivated both in the hardware configuration and in ESX.,Some third-party managed solutions may require this.,P0,Net.BMCNetworkEnable,1,0,NO,Modify,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting Net.BMCNetworkEnable,Get-VMHost -Name $ESX | Get-AdvancedSetting Net.BMCNetworkEnable | Set-AdvancedSetting -Value 0
esx-9.iscsi-mutual-chap,"IAC-04
CRY-03",VCFE-9X-000138,8.3.2,ESX,9.0.0,iSCSI,Enable bidirectional/mutual CHAP authentication for iSCSI traffic.,"Mutual CHAP provides an additional layer of protection by requiring both the initiator (client) and the target (server) to verify their identities to each other, thereby ensuring data transmitted between the two is not intercepted or altered by unauthorized entities.",None.,"P0
Upon Feature Enablement","Set iSCSI storage adapter authentication to ""Use bidirectional CHAP"" and supply credentials",Not Configured,Enabled,NO,Modify if Feature in Use,ESX iSCSI Configuration,"Get-VMHost -Name $ESX | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Select VMHost, Device, ChapType, @{N=""CHAPName"";E={$_.AuthenticationProperties.ChapName}}","Get-VMHost -Name $ESX | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Set-VMHostHba <parameters>"
esx-9.key-persistence,"CRY-09
PES-02",VCFE-9X-000236,"3.3.2
3.3.3
3.5.1",ESX,9.0.0,TPM,The ESX host must not store encryption keys on ESX hosts without securing physical access to the hosts.,"Key Persistence is a mechanism that uses a local Trusted Platform Module (TPM) to store Standard Key Provider keys, usually found only in an external Key Management System (KMS). While this setup can improve management of dependencies, using Key Persistence changes the encryption risks. If an attacker steals the host, they will have access to the encryption keys for data on that host, bypassing the access controls of the external KMS. Therefore, Key Persistence should be used only when the physical security of the hosts is assured. If the physical hosts are not secure and an attacker can steal the host, they will also have the means to access and use encrypted workloads.

Key Persistence and Native Key Provider are often conflated because both store encryption data on hosts. However, the Native Key Provider does not use Key Persistence, so turning off Key Persistence won't affect it. Like Key Persistence, the Native Key Provider also requires careful consideration of physical security, as outlined in the 'design-9.native-key-provider' and 'design-9.hardware-physical-security' controls.",Default is desired behavior. Change away from the default may negatively impact confidentiality in environments where physical access by attackers is possible.,"P2
Upon Feature Enablement",N/A,false,false,YES,Audit,esxcli,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.security.keypersistence.get.invoke() | Select-Object -ExpandProperty Enabled","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.security.keypersistence.disable.CreateArgs()
$arguments.removeallstoredkeys = $true
$ESXcli.system.security.keypersistence.disable.Invoke($arguments)"
esx-9.lockdown-dcui-access,IAC-21,VCFE-9X-000181,7.2.2,ESX,9.0.0,Base,The ESX host must have an accurate DCUI.Access list.,"Ensures that only authorized users have direct console user interface (DCUI) access to the ESX host when Lockdown Mode is enabled. The root user cannot be removed from the list.

To control ESX Shell and/or SSH access use the Lockdown Mode Exception Users list.",Potential for loss of administrative access to hosts. Ensure that the host is attached to the vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.,P2,DCUI.Access,root,root,YES,Audit,"ESX Advanced
System Settings",Get-VMHost -Name $ESX | Get-AdvancedSetting DCUI.Access,Get-VMHost -Name $ESX | Get-AdvancedSetting DCUI.Access | Set-AdvancedSetting -Value root
esx-9.lockdown-exception-users,IAC-21,VCFE-9X-000205,7.2.2,ESX,9.0.0,Base,The ESX host must have an accurate Exception Users list.,"Users on the Lockdown Mode ""Exception Users"" list do not lose their privileges when the host enters lockdown mode, which can potentially defeat the purpose of lockdown mode.",Potential for loss of administrative access to hosts. Ensure that the host is attached to the vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.,P2,N/A,Null,Null,YES,Audit,ESX Security Profile,(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).QueryLockdownExceptions(),(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).UpdateLockdownExceptions($NULL)
esx-9.lockdown-mode,"IAC-20
CFG-03",VCFE-9X-000008,2.2.4,ESX,9.0.0,Base,The ESX host must enable lockdown mode.,"Enabling lockdown mode deactivates direct access to an ESX host and requires that the host be managed remotely from vCenter Server. This is done to ensure that the roles and access controls implemented in vCenter are always enforced, and users cannot bypass them by logging into a host directly. By forcing all interactions to occur through vCenter Server, the risk of someone attaining elevated privileges or performing tasks that are not properly audited is greatly reduced.

Note that users listed in the Exception Users list for each host are allowed to override lockdown mode and log in. By default, no users are present on the Exception Users list.

There are three settings for lockdown mode: disabled, normal, and strict. Choosing strict means that if the ESX host loses contact with vCenter Server, it cannot be managed in any way until that connection is restored. If the connection cannot be restored, the host will need to be rebuilt. This level of lockdown mode is typically not necessary for most deployments and can present significant operational challenges. Therefore, we recommend using normal lockdown mode.","Potential for loss of administrative access to hosts. Ensure that the host is attached to vCenter Server and that access lists and exception lists are configured prior to configuring lockdown mode.

There are some operations, such as backup and troubleshooting, that require direct access to the host. In these cases, Lockdown Mode can be deactivated on a temporary basis for specific hosts as needed, and then re-enabled when the task is completed.",P0,N/A,lockdownDisabled,lockdownNormal,NO,Modify,ESX Security Profile,(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).LockdownMode,(Get-View (Get-VMHost -Name $ESX | Get-View).ConfigManager.HostAccessManager).ChangeLockdownMode('lockdownNormal')
