SCG ID,Secure Controls Framework ID,DISA STIG ID,PCI DSS 4.0.1 ID,NIST 800-53R5 ID,Component Name,Component Version,Feature/Function,Description/Title,Discussion,Potential Functional Impact if Default Value is Changed,Implementation Priority,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,PowerCLI Command Assessment,PowerCLI Command Remediation
esx-9.api-soap-timeout,IAC-25,VCFE-9X-000226,8.2.8,AC-12,ESX,9.1.0,Base,The ESX host must configure a session timeout for the vSphere API.,"The vSphere API (specifically the vmacore SOAP service) handles authenticated requests from PowerCLI, automation, and the host UI. The ""Config.HostAgent.vmacore.soap.sessionTimeout"" parameter sets the idle timeout for these sessions in minutes (despite the value appearing as a small integer). Without an idle timeout, an unattended SOAP session can stay alive indefinitely, giving anyone with subsequent access to the originating client a usable authenticated session. The recommended idle timeout aligns with common regulatory compliance requirements without disrupting ordinary automation and management workflows.","Setting this value to 0 disables the session idle timeout, allowing SOAP sessions to remain authenticated indefinitely. Very short timeouts (under a few minutes) cause automation that pauses between API calls to re-authenticate frequently, which can fail jobs that don't handle re-auth.",P1,Config.HostAgent.vmacore.soap.sessionTimeout,30,15,NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.vmacore.soap.sessionTimeout | Set-AdvancedSetting -Value 15
esx-9.ceip-disable,CFG-03,N/A,2.2.4,CM-07,ESX,9.1.0,Base,Disable the ESX Customer Experience Improvement Program.,"The Customer Experience Improvement Program (CEIP) collects product usage and diagnostic data from the ESX host and sends it to the vendor for product improvement; on ESX this is governed by the Host Client CEIP opt-in setting. The data describes how the product is configured and operated; it is not customer workload data. Organizations that restrict outbound data from the management environment, or that operate the management plane in an isolated network, opt out so the host does not originate that traffic. This is a data-handling policy choice that reduces outbound communication from the management plane rather than a control that changes the security state of the host.",Disabling CEIP removes a feedback channel to the vendor for product improvement data; it does not affect ESX function or the supportability of unrelated cases. Leaving it enabled continues that outbound reporting.,P1,UserVars.HostClientCEIPOptIn,0,2,NO,Modify,UI: ESX Host Client (advanced setting UserVars.HostClientCEIPOptIn),Get-VMHost -Name $ESX | Get-AdvancedSetting -Name UserVars.HostClientCEIPOptIn,Get-VMHost -Name $ESX | Get-AdvancedSetting -Name UserVars.HostClientCEIPOptIn | Set-AdvancedSetting -Value 2
esx-9.cpu-hyperthread-warning,MON-01.4,VCFE-9X-000227,2.2.6,SI-04(05),ESX,9.1.0,Base,The ESX host must not suppress warnings about unmitigated hyperthreading vulnerabilities.,"ESX displays a warning in vCenter when the host runs with hyperthreading (SMT) enabled on a CPU that has known speculative-execution vulnerabilities (such as L1TF/Foreshadow or MDS-class side-channel attacks) without a mitigation applied. The ""UserVars.SuppressHyperthreadWarning"" parameter lets administrators hide that warning. Suppressing the warning does not change the underlying risk; it only hides the indicator. Leave the warning enabled so operators can see CPUs that need firmware or scheduling-policy remediation. If the residual risk is accepted by the organization, document that decision separately rather than silencing the indicator.",Setting this value to 1 suppresses the hyperthreading vulnerability warning in vCenter. The host's exposure to CPU side-channel attacks is unchanged; only the visibility to operators is affected. Suppressing the warning makes it more likely that unmitigated CPUs go unnoticed and unremediated.,P2,UserVars.SuppressHyperthreadWarning,0,0,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.SuppressHyperthreadWarning | Set-AdvancedSetting -Value 0
esx-9.dcui-timeout,IAC-25,VCFE-9X-000201,8.2.8,AC-12,ESX,9.1.0,Base,Set a timeout to automatically terminate idle DCUI sessions on the ESX host.,"The Direct Console User Interface (DCUI) is the text-based console that ESX shows on the host's physical or virtual screen. It accepts local root login and is most often used during initial setup or for emergency recovery. The ""UserVars.DcuiTimeOut"" parameter sets an idle timeout in seconds for active DCUI sessions. An idle DCUI session left logged in at a console (physical or IPMI/KVM) gives anyone with subsequent console access a privileged shell on the host. An idle timeout closes that window automatically.","Setting this value to 0 disables the idle timeout, leaving DCUI sessions logged in indefinitely after the operator walks away. Setting a very short value forces operators to re-authenticate at the console frequently, which can slow troubleshooting during incident response.",P2,UserVars.DcuiTimeOut,600,600,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.DcuiTimeOut,Get-VMHost -Name $ESX | Get-AdvancedSetting UserVars.DcuiTimeOut | Set-AdvancedSetting -Value 600
esx-9.deactivate-mob,CFG-03,VCFE-9X-000046,2.2.4,CM-07,ESX,9.1.0,Base,The ESX Managed Object Browser (MOB) must be disabled.,"The Managed Object Browser (MOB) is a web-based view of the vSphere API object hierarchy on an ESX host. It is primarily a debugging aid for low-level support cases and is not used during normal operations. When enabled, MOB exposes a large surface of internal API objects and methods over HTTPS on the host. Disable MOB unless a support engineer specifically requires it for an active investigation, and re-disable it afterward.",Disabling MOB prevents debugging access to the vSphere API object hierarchy via web browser. Support engineers troubleshooting low-level issues may ask to re-enable it temporarily; re-disable it after the investigation. Leaving MOB enabled exposes a large API surface that authenticated attackers can use to enumerate host configuration and call internal methods.,P2,Config.HostAgent.plugins.solo.enableMob,False,False,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.solo.enableMob | Set-AdvancedSetting -Value False
esx-9.deactivate-shell,CFG-03,VCFE-9X-000199,2.2.4,CM-07,ESX,9.1.0,Base,The ESX Shell must be disabled.,"The ESX Shell is the local command-line interface to the host (the TSM service), accessible from the DCUI by pressing Alt+F1 or from the host's serial console. It provides root-equivalent access to the underlying VMkernel and POSIX environment, parallel to the vSphere API. Most ongoing administration is better performed through vCenter or PowerCLI, both of which leave more useful audit trails. Keep the shell service stopped and policy set to 'Start and stop manually' so it cannot be auto-started on reboot. Turn it on for the duration of a troubleshooting session and stop it again afterward.","Disabling the ESX Shell removes the local interactive root environment on each host. Troubleshooting that requires shell access (ad-hoc esxcli or esxcfg-* commands, log inspection at the file level) must be performed by enabling the shell for the duration of the work, then stopping it again. Leaving the shell running keeps a long-lived privileged interface on the host that bypasses vCenter's audit trail and remains a potential entry point if host root credentials are ever compromised.",P2,N/A,"Stopped, Start and stop manually","Stopped, Start and stop manually",YES,Audit,UI: ESX Services Configuration,"Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM' -and $_.Running -eq 'True'}
Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM' -and $_.Policy -eq 'On'}","Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM'} | Set-VMHostService -Policy Off
Get-VMHostService -VMHost $ESX | Where-Object {$_.Key -eq 'TSM'} | Stop-VMHostService"
esx-9.disable-accounts-dcui,IAC-15.7,VCFE-9X-000237,2.2.4,AC-02,ESX,9.1.0,Base,The ESX host must disable shell access for the dcui account.,"The ""dcui"" account is a system account used internally by the Direct Console User Interface service to perform privilege-separation tasks. It is not meant for interactive use. Granting shell access to this account means that anyone who can authenticate as ""dcui"" can drop into an ESX shell and run commands as that account. Set the account's shell access to ""false"" so the dcui account cannot be used as an interactive entry point even if its credentials are obtained.",Disabling shell access for the dcui account does not affect normal ESX operations or the DCUI itself. Leaving shell access enabled gives the system account an interactive entry point that an attacker could use after compromising its credentials.,P0,N/A,Enabled,Disabled,NO,Modify,Shell: esxcli,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.account.list.Invoke() | Where-Object { $_.UserID -eq 'dcui' } | Select-Object -ExpandProperty Shellaccess","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.account.set.CreateArgs()
$arguments.id = ""dcui""
$arguments.shellaccess = ""false""
$ESXcli.system.account.set.Invoke($arguments)"
esx-9.entropy,CRY-01,VCFE-9X-000234,"2.2.7, 8.3.2",SC-13,ESX,9.1.0,Base,The ESX host must use sufficient entropy for cryptographic operations.,"Cryptographic operations on the ESX host (TLS sessions, key generation, random tokens) require a steady supply of unpredictable bytes. Entropy is the term for the unpredictability of those bytes; running short of high-quality entropy weakens any keys or nonces generated during that period. ESX collects entropy from multiple sources, including a hardware random number generator (HWRNG) when the CPU exposes one. The ""disableHwrng"" kernel option controls whether the HWRNG is used, and ""entropySources"" selects which combination of sources seeds the entropy pool. Leaving both at their defaults uses the recommended mix of sources.","Setting ""disableHwrng"" to TRUE removes the hardware entropy source from the pool, leaving ESX dependent on software-only entropy collection, which may be slower to accumulate enough randomness for high-volume cryptographic operations. Changing ""entropySources"" from the default substitutes a non-default mix of sources, which ESX's certified cryptographic subsystem may not accept; this can cause cryptographic operations to block waiting for entropy or to fail outright.",P2,N/A,"disableHwrng = FALSE, entropySources = 0","disableHwrng = FALSE, entropySources = 0",YES,Audit,Shell: ESX Shell,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$ESXcli.system.settings.kernel.list.Invoke() | Where-Object {$_.Name -eq ""disableHwrng"" -or $_.Name -eq ""entropySources""}","$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.system.settings.kernel.set.CreateArgs()
$arguments.setting = ""disableHwrng""
$arguments.value = ""FALSE""
$ESXcli.system.settings.kernel.set.Invoke($arguments)
$arguments.setting = ""entropySources""
$arguments.value = ""0""
$ESXcli.system.settings.kernel.set.Invoke($arguments)"
esx-9.etc-issue,SEA-18,"VCFE-9X-000196, VCFE-9X-000197",2.2.6,AC-08,ESX,9.1.0,Base,Configure the login banner for ESX host SSH connections.,"The ""Config.Etc.issue"" advanced setting holds the text shown to users connecting to the ESX host via SSH. The banner is a pre-authentication legal notice that communicates terms of use and any monitoring policy in effect; it does not enforce or block anything technically. Many organizations have specific legal text that must appear on management interfaces. Note the case-sensitive lowercase ""issue"" in the parameter name: ESX and vCenter handle the casing differently, and using lowercase ensures the setting works on both.",Setting or removing the banner has no functional impact on ESX or its workloads. The banner is an informational notice shown before authentication; its absence does not weaken any technical security control. Use text that reflects the organization's policy and consult legal counsel for appropriate language.,P1,Config.Etc.issue,Undefined,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.Etc.issue,"Get-VMHost -Name $ESX | Get-AdvancedSetting Config.Etc.issue | Set-AdvancedSetting -Value ""****************************************************************************`n* Authorized users only. Actual or attempted unauthorized use of this      *`n* system is prohibited and may result in criminal, civil, security, or     *`n* administrative proceedings and/or penalties. Use of this information     *`n* system indicates consent to monitoring and recording, without notice     *`n* or permission. Users have no expectation of privacy. Any information     *`n* stored on or transiting this system, or obtained by monitoring and/or    *`n* recording, may be disclosed to law enforcement and/or used in accordance *`n* with Federal law, State statute, and organization policy. If you are not *`n* an authorized user of this system, exit the system at this time.         *`n****************************************************************************`n"""
esx-9.firewall-incoming-default,NET-04.1,VCFE-9X-000216,"1.4.1, 1.4.2","SC-07(05), SC-07(11)",ESX,9.1.0,Base,The ESX host must configure the firewall to block network traffic by default.,"ESX has a built-in stateless firewall with per-service rulesets. The ""default block"" policy controls what happens to traffic that is not matched by any enabled ruleset: when the policy is Block, unmatched traffic is dropped; when it is Allow, unmatched traffic is permitted. With block-by-default, adding or removing services on the host does not silently expose them to the network. Keep the default block policy enabled and grant traffic by enabling specific rulesets for the services that actually need network reachability.","Changing the default policy to Allow opens every service running on the host to inbound network traffic that isn't explicitly blocked by another rule, including services that were never intended to be reachable from outside the host. Keeping the default Block policy means new services must be explicitly allowed via a ruleset, which is the safer default. No workload impact in either direction; the change affects only management-network reachability of host services.",P2,N/A,Enabled,Enabled,YES,Audit,Shell: esxcli,Get-VMHost -Name $ESX | Get-VMHostFirewallDefaultPolicy,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.defaultaction = $false
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)"
esx-9.firewall-restrict-access,"END-05, NET-04.1",VCFE-9X-000217,"1.4.1, 1.4.2","SC-07(05), SC-07(11)",ESX,9.1.0,Base,Configure the ESX host firewall to only allow traffic from authorized networks.,"Each enabled ESX firewall ruleset can be configured to accept connections from a specific list of IP addresses or CIDR ranges. By default, rulesets allow connections from any IP address (""allow all""). Restricting each ruleset to only the management subnets, jump hosts, and infrastructure endpoints that legitimately need to reach the host limits how far an attacker can reach from a compromised network position. Note that the ESX firewall enforces ingress rules only; it does not maintain connection state, so allowed-IP lists must be configured for each service that should be reachable.","Restricting allowed IP addresses on a ruleset blocks traffic from any IP outside the configured list, including legitimate administration sources that were not previously inventoried. Plan the allowed-IP list to include all jump hosts, monitoring tools, automation runners, and backup endpoints that need reachability before applying. Leaving the default ""allow all"" exposes the service to any reachable network position.",P0,N/A,Connections allowed from any IP address,Connections allowed only from authorized infrastructure and administration workstations,NO,Modify,UI: ESX Firewall Configuration,"$ESXcli = Get-EsxCli -VMHost $ESX -V2
$list = $ESXcli.network.firewall.ruleset.list.Invoke() | Where-Object {($_.AllowedIPconfigurable -eq $true) -and ($_.EnableDisableconfigurable -eq $true)} | Select-Object -ExpandProperty Name

$arguments = $ESXcli.network.firewall.ruleset.allowedip.list.CreateArgs()
foreach ($rule in $list) {
    $arguments.rulesetid = $rule
    $ESXcli.network.firewall.ruleset.allowedip.list.Invoke($arguments)
}","# This is an example which you will want to customize!
$ESXcli = Get-EsxCli -VMHost $ESX -V2
# Deactivate firewall temporarily so we don't lose connectivity
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $false
$ESXcli.network.firewall.set.Invoke($arguments)

# Unset the ""allow all"" flag
$arguments = $ESXcli.network.firewall.ruleset.set.CreateArgs()
$arguments.allowedall = $false
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.set.Invoke($arguments)

# Add an IP range
$arguments = $ESXcli.network.firewall.ruleset.allowedip.add.CreateArgs()
$arguments.ipaddress = ""192.168.0.0/16""
$arguments.rulesetid = ""sshServer""
$ESXcli.network.firewall.ruleset.allowedip.add.Invoke($arguments)

# Enable the firewall
$arguments = $ESXcli.network.firewall.set.CreateArgs()
$arguments.enabled = $true
$ESXcli.network.firewall.set.Invoke($arguments)"
esx-9.forensic-snapshots,"CFG-03, IRO-08",N/A,2.2.4,CM-07,ESX,9.1.0,Base,Leave forensic memory snapshots disabled except on hosts used for deliberate memory capture.,"ESX normally declines to take a memory snapshot of a virtual machine that it cannot guarantee it can restore, such as a VM with independent disks. A forensic-snapshot option relaxes that rule so an investigator can capture the live memory state of such a VM for analysis. When the option is off, the host's normal restorability protection stays in force.

Keeping it off avoids two problems. A snapshot taken under this relaxation may not be restorable, so an operator who treats it as a recovery point has a backup that will not restore. Separately, a memory snapshot is a copy of the VM's running memory, which can contain decrypted secrets such as keys, credentials, and in-flight data; allowing these snapshots broadly multiplies the on-disk copies of that sensitive state. Enable the option only on hosts where a deliberate memory-forensics process is in use, and remove the resulting snapshots when the analysis is complete.","Leaving the option disabled does not affect normal snapshots of restorable VMs. Enabling it lets operators create memory snapshots of VMs that may not be restorable, which can be mistaken for valid recovery points and which retain copies of the VM's memory contents.",P2,Config.HostAgent.plugins.vmsvc.allowForensicSnapshots,FALSE,FALSE,YES,Audit,UI: ESX Advanced System Settings,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.vmsvc.allowForensicSnapshots,Get-VMHost -Name $ESX | Get-AdvancedSetting Config.HostAgent.plugins.vmsvc.allowForensicSnapshots | Set-AdvancedSetting -Value $false
