SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
esx-9.supported,ESX,The ESX host must run a build of ESX that has not reached End of General Support.,P2,TDA-17,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
esx-9.updates,ESX,The ESX host must have all available software updates and patches installed.,P0,VPM-05,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
esx-9.vib-trusted-binaries,ESX,The ESX host must only execute binaries delivered through a signed VIB.,P2,CFG-03.2,"ML2-P5, ML3-P5"
fleet-9.jit-inactivity,Operations,Configure an inactivity expiry for Just-In-Time users.,P0,IAC-15.3,"ML2-P4, ML3-P4"
guest-9.tools-logs,ESX,The guest OS must enable VMware Tools logging.,P2,MON-03,"ML2-P3, ML2-P5, ML3-P3, ML3-P5"
guest-9.tools-updates,ESX,The guest OS must run a current version of VMware Tools.,P0,VPM-05,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
guest-9.tools-upgrade,ESX,"The guest OS must enable VMware Tools auto-upgrade, or use an equivalent external update path.",P2,VPM-05,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
networks-9.audit-identity,Operations for Networks,Capture user identity in VCF Operations for Networks audit logs.,P0,MON-03,"ML2-P3, ML2-P5, ML3-P3, ML3-P5"
nsx-9.backup,NSX,Configure scheduled backups of NSX Manager.,P0,BCD-11,"ML1-P8, ML2-P8, ML3-P8"
nsx-9.log-level,NSX,NSX Manager must set service logging levels to capture audit-relevant events.,P0,MON-03,"ML2-P3, ML2-P5, ML3-P3, ML3-P5"
operations-9.log-collection,Operations,Configure VCF Operations log collection for all deployed components.,P0,MON-02.2,"ML2-P3, ML2-P4, ML2-P5, ML2-P7, ML3-P3, ML3-P4, ML3-P5, ML3-P7"
operations-9.logs-authenticated-ingestion,Operations,Require authenticated log ingestion in VCF Operations.,P0,MON-08,"ML2-P3, ML2-P4, ML2-P5, ML2-P7, ML3-P3, ML3-P4, ML3-P5, ML3-P7"
sddc-9.api-admin,SDDC Manager,SDDC Manager must configure the API admin account.,P2,IAC-15.9,"ML2-P4, ML3-P4"
vcenter-9.bashshelladministrators,vCenter,VMware vCenter must restrict membership of the SystemConfiguration.BashShellAdministrators SSO group.,P0,IAC-16,"ML1-P4, ML2-P4, ML3-P4"
vcenter-9.logs-level-global,vCenter,Configure the vCenter logging level to capture security-relevant events.,P2,MON-03,"ML2-P3, ML2-P5, ML3-P3, ML3-P5"
vcenter-9.supported,vCenter,vCenter must run a version that has not reached End of General Support.,P2,TDA-17,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
vcenter-9.vami-updates,vCenter,vCenter must have all available software updates and patches installed.,P0,VPM-05,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
vcf-9.permissions-roles,VCF,"Review and right-size accounts, permissions, and role assignments across all VCF components.",P1,IAC-21,"ML1-P4, ML2-P4, ML3-P4"
vcf-9.secure-baseline,VCF,"Apply the controls in this guidance, and document the rationale for any deviations.",P1,CFG-02,"ML1-P6, ML1-P7, ML2-P5, ML2-P6, ML2-P7, ML3-P4, ML3-P5, ML3-P6, ML3-P7"
vm-9.isolation-device-connectable-deactivate,ESX,"Virtual machines must prevent unauthorized removal, connection, and modification of devices.",P2,IAC-21,"ML1-P4, ML2-P4, ML3-P4"
vm-9.log-enable,ESX,Virtual machines must enable diagnostic logging.,P2,MON-03,"ML2-P3, ML2-P5, ML3-P3, ML3-P5"
vm-9.pci-passthrough,ESX,Virtual machines must limit PCI device passthrough functionality.,P2,IAC-21,"ML1-P4, ML2-P4, ML3-P4"
vm-9.virtual-hardware,ESX,Virtual machines must use a minimum supported virtual hardware version.,P1,VPM-05,"ML1-P1, ML1-P2, ML2-P1, ML2-P2, ML3-P1, ML3-P2"
