Control ID,SCF ID,Description,Control Coverage,Response
5.2,GOV-02,"​Policy 

Top management shall establish an information security policy that:
a) is appropriate to the purpose of the organization;
b) includes information security objectives (see 6.2) or provides the framework for setting information
security objectives;
c) includes a commitment to satisfy applicable requirements related to information security;
d) includes a commitment to continual improvement of the information security management system.
The information security policy shall:
e) be available as documented information;
f) be communicated within the organization;
g) be available to interested parties, as appropriate.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(a),GOV-02,"Top management shall establish an information security policy that:
a) is appropriate to the purpose of the organization;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(b),"GOV-02, GOV-09","Top management shall establish an information security policy that:
b) includes information security objectives (see 6.2) or provides the framework for setting information
security objectives;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(c),GOV-02,"Top management shall establish an information security policy that:
c) includes a commitment to satisfy applicable requirements related to information security;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(d),GOV-02,"Top management shall establish an information security policy that:
d) includes a commitment to continual improvement of the information security management system.
The information security policy shall:",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(e),GOV-02,"Top management shall establish an information security policy that:
e) be available as documented information;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(f),GOV-02,"Top management shall establish an information security policy that:
f) be communicated within the organization;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.2(g),GOV-02,"Top management shall establish an information security policy that:
g) be available to interested parties, as appropriate.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.3,"GOV-01.1, GOV-04, HRS-03","​Organizational roles, responsibilities and authorities

Top management shall ensure that the responsibilities and authorities for roles relevant to information
security are assigned and communicated within the organization.
Top management shall assign the responsibility and authority for:
a) ensuring that the information security management system conforms to the requirements of this
document;
b) reporting on the performance of the information security management system to top management.
NOTE Top management can also assign responsibilities and authorities for reporting performance of the
information security management system within the organization.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.3(a),"GOV-01.1, GOV-04","Top management shall ensure that the responsibilities and authorities for roles relevant to information
security are assigned and communicated within the organization.
Top management shall assign the responsibility and authority for:
b) reporting on the performance of the information security management system to top management.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
5.3(b),"GOV-01.1, GOV-04","Top management shall ensure that the responsibilities and authorities for roles relevant to information
security are assigned and communicated within the organization.
Top management shall assign the responsibility and authority for:
b) reporting on the performance of the information security management system to top management.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1,RSK-01,"Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.1,"GOV-01, RSK-01","​General

When planning for the information security management system, the organization shall consider
the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and
opportunities that need to be addressed to:
a) ensure the information security management system can achieve its intended outcome(s);
b) prevent, or reduce, undesired effects;
c) achieve continual improvement.
The organization shall plan:
d) actions to address these risks and opportunities; and
e) how to
1) integrate and implement the actions into its information security management system
processes; and
2) evaluate the effectiveness of these actions.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.1(a),"GOV-01, RSK-01","When planning for the information security management system, the organization shall consider
the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and
opportunities that need to be addressed to:
a) ensure the information security management system can achieve its intended outcome(s);
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.1(b),"GOV-01, RSK-01","When planning for the information security management system, the organization shall consider
the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and
opportunities that need to be addressed to:

b) prevent, or reduce, undesired effects;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.1(c),"GOV-01, RSK-01","When planning for the information security management system, the organization shall consider
the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and
opportunities that need to be addressed to:

c) achieve continual improvement.
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.1(d),"GOV-01, RSK-01","When planning for the information security management system, the organization shall consider
the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and
opportunities that need to be addressed to:

The organization shall plan:
d) actions to address these risks and opportunities; and
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.1(e)(1),"GOV-01, RSK-01","When planning for the information security management system, the organization shall consider
the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and
opportunities that need to be addressed to:

e) how to
1) integrate and implement the actions into its information security management system
processes; ",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.1(e)(2),"GOV-01, RSK-01","When planning for the information security management system, the organization shall consider
the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and
opportunities that need to be addressed to:

e) how to
2) evaluate the effectiveness of these actions.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2,"RSK-01, RSK-01.1","​Information security risk assessment
The organization shall define and apply an information security risk assessment process that:
a) establishes and maintains information security risk criteria that include:
1) the risk acceptance criteria; and
2) criteria for performing information security risk assessments;
b) ensures that repeated information security risk assessments produce consistent, valid and
comparable results;
c) identifies the information security risks:
1) apply the information security risk assessment process to identify risks associated with
the loss of confidentiality, integrity and availability for information within the scope of the
information security management system; and
2) identify the risk owners;
d) analyses the information security risks:
1) assess the potential consequences that would result if the risks identified in 6.1.2 c) 1) were to
materialize;
2) assess the realistic likelihood of the occurrence of the risks identified in 6.1.2 c) 1); and
3) determine the levels of risk;
e) evaluates the information security risks:
1) compare the results of risk analysis with the risk criteria established in 6.1.2 a); and
2) prioritize the analysed risks for risk treatment.
The organization shall retain documented information about the information security risk assessment
process.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(a),"RSK-01, RSK-01.1","The organization shall define and apply an information security risk assessment process that:
a) establishes and maintains information security risk criteria that include:",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(a)(1),"RSK-01, RSK-01.1","​Information security risk assessment

The organization shall define and apply an information security risk assessment process that:
a) establishes and maintains information security risk criteria that include:
1) the risk acceptance criteria; and
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(a)(2),"RSK-01, RSK-01.1","​The organization shall define and apply an information security risk assessment process that:
a) establishes and maintains information security risk criteria that include:
2) criteria for performing information security risk assessments;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(b),"RSK-01, RSK-01.1","The organization shall define and apply an information security risk assessment process that:

b) ensures that repeated information security risk assessments produce consistent, valid and
comparable results;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(c),"RSK-01, RSK-01.1, RSK-03","The organization shall define and apply an information security risk assessment process that:

c) identifies the information security risks:
1) apply the information security risk assessment process to identify risks associated with
the loss of confidentiality, integrity and availability for information within the scope of the
information security management system; and
2) identify the risk owners;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(c)(1),"RSK-01, RSK-01.1, RSK-03","The organization shall define and apply an information security risk assessment process that:
c) identifies the information security risks:
1) apply the information security risk assessment process to identify risks associated with
the loss of confidentiality, integrity and availability for information within the scope of the
information security management system;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(c)(2),"RSK-01, RSK-01.1, RSK-03","The organization shall define and apply an information security risk assessment process that:
c) identifies the information security risks:
2) identify the risk owners;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(d),"RSK-01, RSK-01.1, RSK-04","The organization shall define and apply an information security risk assessment process that:
2) identify the risk owners;
d) analyses the information security risks:
1) assess the potential consequences that would result if the risks identified in 6.1.2 c) 1) were to
materialize;
2) assess the realistic likelihood of the occurrence of the risks identified in 6.1.2 c) 1); and
3) determine the levels of risk;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(d)(1),"RSK-01, RSK-01.1, RSK-04","The organization shall define and apply an information security risk assessment process that:
2) identify the risk owners;
d) analyses the information security risks:
1) assess the potential consequences that would result if the risks identified in 6.1.2 c) 1) were to
materialize;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(d)(2),"RSK-01, RSK-01.1, RSK-04","The organization shall define and apply an information security risk assessment process that:
d) analyses the information security risks:
2) assess the realistic likelihood of the occurrence of the risks identified in 6.1.2 c) 1); and",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(d)(3),"RSK-01, RSK-01.1, RSK-02, RSK-04","The organization shall define and apply an information security risk assessment process that:
d) analyses the information security risks:
3) determine the levels of risk;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(e),"RSK-01, RSK-01.1, RSK-04","The organization shall define and apply an information security risk assessment process that:
e) evaluates information security risks:",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(e)(1),"RSK-01, RSK-01.1, RSK-04","The organization shall define and apply an information security risk assessment process that:
e) evaluates information security risks:
1) compare the results of risk analysis with the risk criteria established in 6.1.2 a); and",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.2(e)(2),"RSK-01, RSK-01.1, RSK-04","The organization shall define and apply an information security risk assessment process that:
e) evaluates information security risks:
2) prioritize the analyzed risks for risk treatment.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.3,"RSK-06, RSK-06.1","Information security risk treatment

The organization shall define and apply an information security risk treatment process to:
a) select appropriate information security risk treatment options, taking account of the risk
assessment results;
b) determine all controls that are necessary to implement the information security risk treatment
option(s) chosen;

NOTE 1 Organizations can design controls as required, or identify them from any source.
c) compare the controls determined in 6.1.3 b) above with those in Annex A and verify that no
necessary controls have been omitted;

NOTE 2 Annex A contains a list of possible information security controls. Users of this document are
directed to Annex A to ensure that no necessary information security controls are overlooked.

NOTE 3 The information security controls listed in Annex A are not exhaustive and additional information
security controls can be included if needed.
d) produce a Statement of Applicability that contains:
— the necessary controls (see 6.1.3 b) and c));
— justification for their inclusion;
— whether the necessary controls are implemented or not; and
— the justification for excluding any of the Annex A controls.
e) formulate an information security risk treatment plan; and
f) obtain risk owners’ approval of the information security risk treatment plan and acceptance of the
residual information security risks.
The organization shall retain documented information about the information security risk treatment
process.

NOTE 4 The information security risk assessment and treatment process in this document aligns with the
principles and generic guidelines provided in ISO 31000[5].",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.3(a),"RSK-06, RSK-06.1","The organization shall define and apply an information security risk treatment process to:
a) select appropriate information security risk treatment options, taking account of the risk
assessment results;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.3(b),"RSK-06, RSK-06.1","The organization shall define and apply an information security risk treatment process to:
b) determine all controls that are necessary to implement the information security risk treatment
option(s) chosen;

NOTE 1 Organizations can design controls as required, or identify them from any source.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.3(c),"RSK-06, RSK-06.1","The organization shall define and apply an information security risk treatment process to:


c) compare the controls determined in 6.1.3 b) above with those in Annex A and verify that no
necessary controls have been omitted;

NOTE 2 Annex A contains a list of possible information security controls. Users of this document are
directed to Annex A to ensure that no necessary information security controls are overlooked.

NOTE 3 The information security controls listed in Annex A are not exhaustive and additional information
security controls can be included if needed.
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.3(d),"RSK-06, RSK-06.1","The organization shall define and apply an information security risk treatment process to:
d) produce a Statement of Applicability that contains:
— the necessary controls (see 6.1.3 b) and c));
— justification for their inclusion;
— whether the necessary controls are implemented or not; and
— the justification for excluding any of the Annex A controls.
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.3(e),"RSK-06, RSK-06.1","The organization shall define and apply an information security risk treatment process to:
e) formulate an information security risk treatment plan; 
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.1.3(f),"RSK-06, RSK-06.1","The organization shall define and apply an information security risk treatment process to:
f) obtain risk owners’ approval of the information security risk treatment plan and acceptance of the
residual information security risks.
The organization shall retain documented information about the information security risk treatment
process.

NOTE 4 The information security risk assessment and treatment process in this document aligns with the
principles and generic guidelines provided in ISO 31000[5].",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2,GOV-09,"​Information security objectives and planning to achieve them

The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:
a) be consistent with the information security policy;
b) be measurable (if practicable);
c) take into account applicable information security requirements, and results from risk assessment
and risk treatment;
d) be monitored;
e) be communicated;
f) be updated as appropriate;
g) be available as documented information.
The organization shall retain documented information on the information security objectives.
When planning how to achieve its information security objectives, the organization shall determine:
h) what will be done;
i) what resources will be required;
j) who will be responsible;
k) when it will be completed; and
l) how the results will be evaluated.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(a),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:
a) be consistent with the information security policy;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(b),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:
b) be measurable (if practicable);
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(c),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:
c) take into account applicable information security requirements, and results from risk assessment
and risk treatment;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(d),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

d) be monitored;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(e),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:
e) be communicated;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(f),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

f) be updated as appropriate;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(g),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

g) be available as documented information.
The organization shall retain documented information on the information security objectives.
When planning how to achieve its information security objectives, the organization shall determine:
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(h),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

The organization shall retain documented information on the information security objectives.
When planning how to achieve its information security objectives, the organization shall determine:
h) what will be done;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(i),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

The organization shall retain documented information on the information security objectives.
When planning how to achieve its information security objectives, the organization shall determine:
i) what resources will be required;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(j),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

The organization shall retain documented information on the information security objectives.
When planning how to achieve its information security objectives, the organization shall determine:
j) who will be responsible;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(k),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

The organization shall retain documented information on the information security objectives.
When planning how to achieve its information security objectives, the organization shall determine:
k) when it will be completed;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.2(l),GOV-09,"The organization shall establish information security objectives at relevant functions and levels.
The information security objectives shall:

The organization shall retain documented information on the information security objectives.
When planning how to achieve its information security objectives, the organization shall determine:

l) how the results will be evaluated.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
6.3,CHG-01,"Planning of changes
When the organization determines the need for changes to the information security management
system, the changes shall be carried out in a planned manner.",Contributes,"VMware Cloud Foundation (VCF) provides robust mechanisms to ensure changes are carried out in a planned manner across infrastructure operations. VCF Automation includes workflow capabilities with integrated approval policies, allowing project administrators to review changes to deployed catalog instances before they take effect and integrating with IT Service Management (ITSM) platforms for comprehensive change tracking and approval.

vSphere Lifecycle Manager (vLCM) and VCF Operations enforce desired-state configurations, detect configuration drift from approved baselines, and offer automated remediation to maintain consistency. Configuration templates can be integrated with source control repositories, supporting versioning, auditing, and controlled change reviews.

Role-based access control (RBAC) across VCF components restricts who can make configuration changes, and detailed audit logging captures all change activity, including the authenticated user, for review.

VMware Live Recovery (VLR) extends these capabilities to disaster recovery configurations, providing granular RBAC to separate change authority across DR functions, such as specific roles for managing recovery plans or protection groups. VLR generates audit log events for changes to permissions and configurations, and its orchestrator plug-in offers parameterized workflows for structured, repeatable, and auditable changes to protection group configurations. VLR also provides a scripting API for integrating DR change activities with existing change management processes or ITSM platforms.

While the platform provides comprehensive technical controls and automation to facilitate planned changes, the organization remains responsible for defining its overarching change management policy, establishing the specific procedures that constitute a ""planned manner,"" and integrating these processes into its broader Information Security Management System. This includes defining approval workflows, documentation requirements, and the human accountability necessary to ensure all changes align with organizational security objectives."
7.1,PRM-02,"​Resources
The organization shall determine and provide the resources needed for the establishment,
implementation, maintenance and continual improvement of the information security management
system.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.2,HRS-03.2,"​Competence
The organization shall:
a) determine the necessary competence of person(s) doing work under its control that affects its
information security performance;
b) ensure that these persons are competent on the basis of appropriate education, training, or
experience;
c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness
of the actions taken; and
d) retain appropriate documented information as evidence of competence.

NOTE Applicable actions can include, for example: the provision of training to, the mentoring of, or the re-
assignment of current employees; or the hiring or contracting of competent persons.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.2(a),"HRS-02, HRS-03.2","The organization shall:
a) determine the necessary competence of person(s) doing work under its control that affects its
information security performance;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.2(b),"HRS-03.2, HRS-04","The organization shall:
b) ensure that these persons are competent on the basis of appropriate education, training, or
experience;
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.2(c),"HRS-03.2, HRS-04","The organization shall:
c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness
of the actions taken; 
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.2(d),"HRS-01, HRS-03.2","The organization shall:
d) retain appropriate documented information as evidence of competence.

",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.3,"HRS-01, HRS-03, HRS-03.1, HRS-04.2, HRS-05, HRS-05.1, HRS-05.2, HRS-05.3, HRS-05.4, HRS-05.5, HRS-05.7","​Awareness
Persons doing work under the organization’s control shall be aware of:
a) the information security policy;
b) their contribution to the effectiveness of the information security management system, including
the benefits of improved information security performance; and
c) the implications of not conforming with the information security management system
requirements.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.3(a),"HRS-01, HRS-03.1, HRS-04.2, HRS-05, HRS-05.1, HRS-05.2, HRS-05.3, HRS-05.4, HRS-05.5","Persons doing work under the organization’s control shall be aware of:
a) the information security policy;",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.3(b),"HRS-01, HRS-03, HRS-03.1, HRS-04.2, HRS-05, HRS-05.1, HRS-05.2, HRS-05.3, HRS-05.4, HRS-05.5","Persons doing work under the organization’s control shall be aware of:
b) their contribution to the effectiveness of the information security management system, including
the benefits of improved information security performance; and
",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.3(c),"HRS-01, HRS-03.1, HRS-04.2, HRS-05, HRS-05.1, HRS-05.2, HRS-05.3, HRS-05.4, HRS-05.5, HRS-05.7","Persons doing work under the organization’s control shall be aware of:

c) the implications of not conforming with the information security management system
requirements.",Not Applicable,"End user activity or process, design decision, or activity out of scope."
7.4,"GOV-01.2, SAT-01, SAT-02, THR-03","​Communication

The organization shall determine the need for internal and external communications relevant to the
information security management system including:
a) on what to communicate;
b) when to communicate;
c) with whom to communicate;
d) how to communicate.",Contributes,"VMware Cloud Foundation, Private AI Foundation with VMware, and VMware vRealize Log Insight do not provide capabilities for defining or managing organizational communication processes for an Information Security Management System.

VMware vDefend Threat Intelligence Service consumes and applies continuously updated feeds, including IDS signatures and URL/threat indicators, which are utilized by IDS/IPS and Advanced Threat Prevention components for network-layer threat detection and response. Security Intelligence provides a visualization canvas for IDS/IPS event data with granular details, and Network Detection and Response (NDR) employs machine learning and advanced analytics to correlate related events into threat campaigns for analyst review. These features enable the operational consumption and internal display of threat intelligence within the vDefend platform.

Establishing the comprehensive organizational communication program for the Information Security Management System, including the determination of what, when, with whom, and how to communicate information security matters to both internal and external stakeholders, requires customer-defined policies, processes, and complementary tooling for program management and broader dissemination across the organization."
7.4(a),"GOV-01.2, SAT-01, SAT-02, THR-03","The organization shall determine the need for internal and external communications relevant to the
information security management system including:
a) on what to communicate;
",Contributes,"VMware vDefend Threat Intelligence Service delivers continuously updated feeds, including IDS signatures and URL/threat indicators. These are automatically consumed by the IDS/IPS and Advanced Threat Prevention components to detect and respond to known and emerging threats at the network layer.

Security Intelligence provides a visualization canvas for IDS/IPS event data, allowing granular event details to be filtered by signature ID.

Network Detection and Response (NDR) leverages machine learning and advanced analytics to automatically correlate related events into comprehensive threat campaigns for analyst review.

While vDefend operationally applies and presents critical threat intelligence, the platform does not define the organization's overall communication strategy or determine the specific content and audience for internal and external communications relevant to the information security management system. The customer is responsible for establishing the broader threat intelligence program management, defining processes for information dissemination, and determining the need for and content of all ISMS-related communications."
7.4(b),"GOV-01.2, SAT-01, SAT-02, THR-03","The organization shall determine the need for internal and external communications relevant to the
information security management system including:
b) when to communicate;
",Contributes,"VMware vDefend Threat Intelligence Service delivers continuously updated feeds, including IDS signatures and URL/threat indicators. These are consumed by IDS/IPS and Advanced Threat Prevention components to detect and respond to known and emerging threats at the network layer.

Security Intelligence provides a visualization canvas for IDS/IPS event data with granular details filterable by signature ID, while Network Detection and Response (NDR) leverages machine learning and advanced analytics to automatically correlate related events into threat campaigns for analyst review.

This operational consumption and application of threat intelligence provides critical data that can inform the need for security communications.

The overarching responsibility for defining the specific timing of internal and external communications, establishing the broader threat intelligence program management, and implementing the processes and tooling for organizational dissemination remains with the customer. The platform provides the technical inputs and detection capabilities, but does not automate or dictate the organizational communication strategy or schedule."
7.4(c),"GOV-01.2, SAT-01, SAT-02, THR-03","The organization shall determine the need for internal and external communications relevant to the
information security management system including:
c) with whom to communicate;
",Contributes,"VMware vDefend Threat Intelligence Service delivers continuously updated feeds, including IDS signatures and URL/threat indicators. These feeds are automatically consumed by the IDS/IPS and Advanced Threat Prevention components to facilitate detection and response to known and emerging network-layer threats. The Security Intelligence module visualizes IDS/IPS event data, offering granular details filterable by signature ID. Furthermore, Network Detection and Response (NDR) leverages machine learning and advanced analytics to automatically correlate related events into comprehensive threat campaigns for analyst review, thereby operationalizing threat intelligence within the platform.

While vDefend effectively consumes and applies threat intelligence, the broader management of the threat intelligence program and the formal dissemination of this intelligence to specific organizational stakeholders require the customer to define complementary processes and tooling. The determination of internal and external communication recipients for information security management system (ISMS) related information, including threat intelligence, is a customer responsibility that involves establishing policies, roles, and communication channels."
